"DMR_ID","chr","start","end","dataset","group","mean_beta"
"DMR_5","chr13",28500882,28503812,"GSE213478","Muscle",0.0596046614843683
"DMR_5","chr13",28500882,28503812,"GSE213478","Ovary",0.0547198059115002
"DMR_5","chr13",28500882,28503812,"GSE213478","Prostate",0.092912475632795
"DMR_5","chr13",28500882,28503812,"GSE213478","Testis",0.0552980243404165
"DMR_6","chr1",47909234,47912753,"GSE213478","Blood",0.0698731185431244
"DMR_6","chr1",47909234,47912753,"GSE213478","Breast",0.321916393852444
"DMR_6","chr1",47909234,47912753,"GSE213478","Colon",0.141341545848079
"DMR_6","chr1",47909234,47912753,"GSE213478","Kidney",0.457767548320209
"DMR_6","chr1",47909234,47912753,"GSE213478","Lung",0.148877224391455
"DMR_6","chr1",47909234,47912753,"GSE213478","Muscle",0.274214275837281
"DMR_6","chr1",47909234,47912753,"GSE213478","Ovary",0.120634762685019
"DMR_6","chr1",47909234,47912753,"GSE213478","Prostate",0.326613897921504
"DMR_6","chr1",47909234,47912753,"GSE213478","Testis",0.150169101139975
"DMR_7","chr6",62995523,62997123,"GSE213478","Blood",0.0879528275780669
"DMR_7","chr6",62995523,62997123,"GSE213478","Breast",0.13722710245075
"DMR_7","chr6",62995523,62997123,"GSE213478","Colon",0.109551106357366
"DMR_7","chr6",62995523,62997123,"GSE213478","Kidney",0.132758478323568
"DMR_7","chr6",62995523,62997123,"GSE213478","Lung",0.0975932050387516
"DMR_7","chr6",62995523,62997123,"GSE213478","Muscle",0.133975211137539
"DMR_7","chr6",62995523,62997123,"GSE213478","Ovary",0.0955557160806323
"DMR_7","chr6",62995523,62997123,"GSE213478","Prostate",0.0962572251864287
"DMR_7","chr6",62995523,62997123,"GSE213478","Testis",0.0751218748328618
"DMR_8","chr15",28351607,28353889,"GSE213478","Blood",0.164070025432745
"DMR_8","chr15",28351607,28353889,"GSE213478","Breast",0.201324876970262
"DMR_8","chr15",28351607,28353889,"GSE213478","Colon",0.253182838049728
"DMR_8","chr15",28351607,28353889,"GSE213478","Kidney",0.232909919251476
"DMR_8","chr15",28351607,28353889,"GSE213478","Lung",0.202941477470816
"DMR_8","chr15",28351607,28353889,"GSE213478","Muscle",0.197981554557877
"DMR_8","chr15",28351607,28353889,"GSE213478","Ovary",0.239028084569259
"DMR_8","chr15",28351607,28353889,"GSE213478","Prostate",0.190228403963802
"DMR_8","chr15",28351607,28353889,"GSE213478","Testis",0.144919751623204
"DMR_9","chr8",67872678,67875922,"GSE213478","Blood",0.126251334352217
"DMR_9","chr8",67872678,67875922,"GSE213478","Breast",0.153790929412733
"DMR_9","chr8",67872678,67875922,"GSE213478","Colon",0.150332525775005
"DMR_9","chr8",67872678,67875922,"GSE213478","Kidney",0.157072668247818
"DMR_9","chr8",67872678,67875922,"GSE213478","Lung",0.133035473209515
"DMR_9","chr8",67872678,67875922,"GSE213478","Muscle",0.138806298322562
"DMR_9","chr8",67872678,67875922,"GSE213478","Ovary",0.135140040316011
"DMR_9","chr8",67872678,67875922,"GSE213478","Prostate",0.163411325941826
"DMR_9","chr8",67872678,67875922,"GSE213478","Testis",0.0964874365879865
"DMR_10","chr20",41817011,41819775,"GSE213478","Blood",0.105161590741359
"DMR_10","chr20",41817011,41819775,"GSE213478","Breast",0.0820503162161756
"DMR_10","chr20",41817011,41819775,"GSE213478","Colon",0.147521948970149
"DMR_10","chr20",41817011,41819775,"GSE213478","Kidney",0.0990005455921787
"DMR_10","chr20",41817011,41819775,"GSE213478","Lung",0.100068161884081
"DMR_10","chr20",41817011,41819775,"GSE213478","Muscle",0.0790166302395015
"DMR_10","chr20",41817011,41819775,"GSE213478","Ovary",0.0860063777350647
"DMR_10","chr20",41817011,41819775,"GSE213478","Prostate",0.0892370463872388
"DMR_10","chr20",41817011,41819775,"GSE213478","Testis",0.0880298478530292
"DMR_11","chr2",144693520,144695257,"GSE213478","Blood",0.198635761244293
"DMR_11","chr2",144693520,144695257,"GSE213478","Breast",0.19630038754383
"DMR_11","chr2",144693520,144695257,"GSE213478","Colon",0.187286005128738
"DMR_11","chr2",144693520,144695257,"GSE213478","Kidney",0.189043339991156
"DMR_11","chr2",144693520,144695257,"GSE213478","Lung",0.188052583496922
"DMR_11","chr2",144693520,144695257,"GSE213478","Muscle",0.127507530484645
"DMR_11","chr2",144693520,144695257,"GSE213478","Ovary",0.144364073817153
"DMR_11","chr2",144693520,144695257,"GSE213478","Prostate",0.18184714579462
"DMR_11","chr2",144693520,144695257,"GSE213478","Testis",0.100766236665327
"DMR_12","chr20",61049777,61051802,"GSE213478","Blood",0.0460313176813535
"DMR_12","chr20",61049777,61051802,"GSE213478","Breast",0.0620401759269275
"DMR_12","chr20",61049777,61051802,"GSE213478","Colon",0.114477480032482
"DMR_12","chr20",61049777,61051802,"GSE213478","Kidney",0.093870235448221
"DMR_12","chr20",61049777,61051802,"GSE213478","Lung",0.0590533107809695
"DMR_12","chr20",61049777,61051802,"GSE213478","Muscle",0.0702222556135804
"DMR_12","chr20",61049777,61051802,"GSE213478","Ovary",0.0716669318463874
"DMR_12","chr20",61049777,61051802,"GSE213478","Prostate",0.0835378351220412
"DMR_12","chr20",61049777,61051802,"GSE213478","Testis",0.0481753633242196
"DMR_13","chr12",95941571,95943131,"GSE213478","Blood",0.0904080424553671
"DMR_13","chr12",95941571,95943131,"GSE213478","Breast",0.110939100862281
"DMR_13","chr12",95941571,95943131,"GSE213478","Colon",0.129283659492297
"DMR_13","chr12",95941571,95943131,"GSE213478","Kidney",0.120476873847801
"DMR_13","chr12",95941571,95943131,"GSE213478","Lung",0.0894202143995145
"DMR_13","chr12",95941571,95943131,"GSE213478","Muscle",0.123359231913425
"DMR_13","chr12",95941571,95943131,"GSE213478","Ovary",0.117889124521667
"DMR_13","chr12",95941571,95943131,"GSE213478","Prostate",0.139277977587411
"DMR_13","chr12",95941571,95943131,"GSE213478","Testis",0.0742638887934049
"DMR_14","chr10",118030848,118034357,"GSE213478","Blood",0.0391605278511491
"DMR_14","chr10",118030848,118034357,"GSE213478","Breast",0.0440729384246763
"DMR_14","chr10",118030848,118034357,"GSE213478","Colon",0.0691447653469995
"DMR_14","chr10",118030848,118034357,"GSE213478","Kidney",0.0360789047292853
"DMR_14","chr10",118030848,118034357,"GSE213478","Lung",0.0372930932757819
"DMR_14","chr10",118030848,118034357,"GSE213478","Muscle",0.0264671710928791
"DMR_14","chr10",118030848,118034357,"GSE213478","Ovary",0.0257646178783551
"DMR_14","chr10",118030848,118034357,"GSE213478","Prostate",0.0488353119302949
"DMR_14","chr10",118030848,118034357,"GSE213478","Testis",0.0290017403993766
"DMR_15","chr19",37406260,37408110,"GSE213478","Blood",0.193301572454863
"DMR_15","chr19",37406260,37408110,"GSE213478","Breast",0.130200842121986
"DMR_15","chr19",37406260,37408110,"GSE213478","Colon",0.178475608160356
"DMR_15","chr19",37406260,37408110,"GSE213478","Kidney",0.137394682965561
"DMR_15","chr19",37406260,37408110,"GSE213478","Lung",0.163695217445549
"DMR_15","chr19",37406260,37408110,"GSE213478","Muscle",0.122116702965086
"DMR_15","chr19",37406260,37408110,"GSE213478","Ovary",0.143194468960057
"DMR_15","chr19",37406260,37408110,"GSE213478","Prostate",0.148185385981275
"DMR_15","chr19",37406260,37408110,"GSE213478","Testis",0.100559963612412
"DMR_16","chr7",49812430,49816819,"GSE213478","Blood",0.110800706556065
"DMR_16","chr7",49812430,49816819,"GSE213478","Breast",0.161126117755388
"DMR_16","chr7",49812430,49816819,"GSE213478","Colon",0.160245696300762
"DMR_16","chr7",49812430,49816819,"GSE213478","Kidney",0.137031210581595
"DMR_16","chr7",49812430,49816819,"GSE213478","Lung",0.101286606094153
"DMR_16","chr7",49812430,49816819,"GSE213478","Muscle",0.101483333897229
"DMR_16","chr7",49812430,49816819,"GSE213478","Ovary",0.124835758704295
"DMR_16","chr7",49812430,49816819,"GSE213478","Prostate",0.159092985563432
"DMR_16","chr7",49812430,49816819,"GSE213478","Testis",0.0653845385352276
"DMR_17","chr11",7271955,7274234,"GSE213478","Blood",0.186601961835154
"DMR_17","chr11",7271955,7274234,"GSE213478","Breast",0.187290820547869
"DMR_17","chr11",7271955,7274234,"GSE213478","Colon",0.234835000220728
"DMR_17","chr11",7271955,7274234,"GSE213478","Kidney",0.174165529127709
"DMR_17","chr11",7271955,7274234,"GSE213478","Lung",0.16876960773864
"DMR_17","chr11",7271955,7274234,"GSE213478","Muscle",0.159711738613567
"DMR_17","chr11",7271955,7274234,"GSE213478","Ovary",0.14611079475232
"DMR_17","chr11",7271955,7274234,"GSE213478","Prostate",0.184335778213895
"DMR_17","chr11",7271955,7274234,"GSE213478","Testis",0.124348488784655
"DMR_18","chr1",49242359,49243472,"GSE213478","Blood",0.0832574584843707
"DMR_18","chr1",49242359,49243472,"GSE213478","Breast",0.0553243013886343
"DMR_18","chr1",49242359,49243472,"GSE213478","Colon",0.0739986939620083
"DMR_18","chr1",49242359,49243472,"GSE213478","Kidney",0.0606803407653311
"DMR_18","chr1",49242359,49243472,"GSE213478","Lung",0.0652922747151375
"DMR_18","chr1",49242359,49243472,"GSE213478","Muscle",0.053966484007655
"DMR_18","chr1",49242359,49243472,"GSE213478","Ovary",0.0364684165138142
"DMR_18","chr1",49242359,49243472,"GSE213478","Prostate",0.0562152444983609
"DMR_18","chr1",49242359,49243472,"GSE213478","Testis",0.033546343491425
"DMR_19","chr8",145103309,145107857,"GSE213478","Blood",0.115883682573729
"DMR_19","chr8",145103309,145107857,"GSE213478","Breast",0.267650467853854
"DMR_19","chr8",145103309,145107857,"GSE213478","Colon",0.140222763263657
"DMR_19","chr8",145103309,145107857,"GSE213478","Kidney",0.487419549536828
"DMR_19","chr8",145103309,145107857,"GSE213478","Lung",0.14047410106817
"DMR_19","chr8",145103309,145107857,"GSE213478","Muscle",0.33863525520014
"DMR_19","chr8",145103309,145107857,"GSE213478","Ovary",0.181787533225878
"DMR_19","chr8",145103309,145107857,"GSE213478","Prostate",0.400628319940599
"DMR_19","chr8",145103309,145107857,"GSE213478","Testis",0.155891196952601
"DMR_20","chr6",133561368,133564578,"GSE213478","Blood",0.0938826307409071
"DMR_20","chr6",133561368,133564578,"GSE213478","Breast",0.211216922530419
"DMR_20","chr6",133561368,133564578,"GSE213478","Colon",0.188716903248383
"DMR_20","chr6",133561368,133564578,"GSE213478","Kidney",0.119723250095307
"DMR_20","chr6",133561368,133564578,"GSE213478","Lung",0.13419383276544
"DMR_20","chr6",133561368,133564578,"GSE213478","Muscle",0.0928733541602647
"DMR_20","chr6",133561368,133564578,"GSE213478","Ovary",0.244501969353694
"DMR_20","chr6",133561368,133564578,"GSE213478","Prostate",0.160900094246068
"DMR_20","chr6",133561368,133564578,"GSE213478","Testis",0.132301474976485
"DMR_21","chr6",84417445,84419827,"GSE213478","Blood",0.177019258785635
"DMR_21","chr6",84417445,84419827,"GSE213478","Breast",0.193892031482923
"DMR_21","chr6",84417445,84419827,"GSE213478","Colon",0.258853496878911
"DMR_21","chr6",84417445,84419827,"GSE213478","Kidney",0.140517541084404
"DMR_21","chr6",84417445,84419827,"GSE213478","Lung",0.164492160381902
"DMR_21","chr6",84417445,84419827,"GSE213478","Muscle",0.143924056562553
"DMR_21","chr6",84417445,84419827,"GSE213478","Ovary",0.16940078303307
"DMR_21","chr6",84417445,84419827,"GSE213478","Prostate",0.166002332818629
"DMR_21","chr6",84417445,84419827,"GSE213478","Testis",0.101260437638192
"DMR_22","chr19",56904442,56905587,"GSE213478","Blood",0.175106996889521
"DMR_22","chr19",56904442,56905587,"GSE213478","Breast",0.127417116559692
"DMR_22","chr19",56904442,56905587,"GSE213478","Colon",0.176098219118249
"DMR_22","chr19",56904442,56905587,"GSE213478","Kidney",0.12466510851795
"DMR_22","chr19",56904442,56905587,"GSE213478","Lung",0.150967649831781
"DMR_22","chr19",56904442,56905587,"GSE213478","Muscle",0.136607045242243
"DMR_22","chr19",56904442,56905587,"GSE213478","Ovary",0.116576271634462
"DMR_22","chr19",56904442,56905587,"GSE213478","Prostate",0.133549128598673
"DMR_22","chr19",56904442,56905587,"GSE213478","Testis",0.0865737811518043
"DMR_23","chr12",72665282,72668470,"GSE213478","Blood",0.141004605334327
"DMR_23","chr12",72665282,72668470,"GSE213478","Breast",0.136074727378954
"DMR_23","chr12",72665282,72668470,"GSE213478","Colon",0.195438087191984
"DMR_23","chr12",72665282,72668470,"GSE213478","Kidney",0.0848274712067449
"DMR_23","chr12",72665282,72668470,"GSE213478","Lung",0.134150898842775
"DMR_23","chr12",72665282,72668470,"GSE213478","Muscle",0.103094046250034
"DMR_23","chr12",72665282,72668470,"GSE213478","Ovary",0.112335620464647
"DMR_23","chr12",72665282,72668470,"GSE213478","Prostate",0.117118790248728
"DMR_23","chr12",72665282,72668470,"GSE213478","Testis",0.0659961637818088
"DMR_24","chr17",43339040,43340758,"GSE213478","Blood",0.270199705021812
"DMR_24","chr17",43339040,43340758,"GSE213478","Breast",0.197807974517737
"DMR_24","chr17",43339040,43340758,"GSE213478","Colon",0.240716251835894
"DMR_24","chr17",43339040,43340758,"GSE213478","Kidney",0.316512651837516
"DMR_24","chr17",43339040,43340758,"GSE213478","Lung",0.256224012243917
"DMR_24","chr17",43339040,43340758,"GSE213478","Muscle",0.310405790928416
"DMR_24","chr17",43339040,43340758,"GSE213478","Ovary",0.13264134758474
"DMR_24","chr17",43339040,43340758,"GSE213478","Prostate",0.168436047571237
"DMR_24","chr17",43339040,43340758,"GSE213478","Testis",0.199500282176004
"DMR_25","chr8",32404299,32406928,"GSE213478","Blood",0.124769936751548
"DMR_25","chr8",32404299,32406928,"GSE213478","Breast",0.108494795563965
"DMR_25","chr8",32404299,32406928,"GSE213478","Colon",0.151955768653654
"DMR_25","chr8",32404299,32406928,"GSE213478","Kidney",0.108377886049177
"DMR_25","chr8",32404299,32406928,"GSE213478","Lung",0.117639865996284
"DMR_25","chr8",32404299,32406928,"GSE213478","Muscle",0.103114370463855
"DMR_25","chr8",32404299,32406928,"GSE213478","Ovary",0.103202255896029
"DMR_25","chr8",32404299,32406928,"GSE213478","Prostate",0.115260454656799
"DMR_25","chr8",32404299,32406928,"GSE213478","Testis",0.0628139556638655
"DMR_26","chr7",98466938,98468586,"GSE213478","Blood",0.12823776201162
"DMR_26","chr7",98466938,98468586,"GSE213478","Breast",0.127971457763298
"DMR_26","chr7",98466938,98468586,"GSE213478","Colon",0.131146551115927
"DMR_26","chr7",98466938,98468586,"GSE213478","Kidney",0.142199487880552
"DMR_26","chr7",98466938,98468586,"GSE213478","Lung",0.122996009887656
"DMR_26","chr7",98466938,98468586,"GSE213478","Muscle",0.143617014136855
"DMR_26","chr7",98466938,98468586,"GSE213478","Ovary",0.112736065533608
"DMR_26","chr7",98466938,98468586,"GSE213478","Prostate",0.131330381190613
"DMR_26","chr7",98466938,98468586,"GSE213478","Testis",0.0891028130952023
"DMR_27","chr2",115918326,115921258,"GSE213478","Blood",0.146389821403395
"DMR_27","chr2",115918326,115921258,"GSE213478","Breast",0.105920873435915
"DMR_27","chr2",115918326,115921258,"GSE213478","Colon",0.184220785292231
"DMR_27","chr2",115918326,115921258,"GSE213478","Kidney",0.0994391708598864
"DMR_27","chr2",115918326,115921258,"GSE213478","Lung",0.124241271539437
"DMR_27","chr2",115918326,115921258,"GSE213478","Muscle",0.0951562381847367
"DMR_27","chr2",115918326,115921258,"GSE213478","Ovary",0.063335174937381
"DMR_27","chr2",115918326,115921258,"GSE213478","Prostate",0.121013473800912
"DMR_27","chr2",115918326,115921258,"GSE213478","Testis",0.0595508918908257
"DMR_28","chr7",24322873,24325371,"GSE213478","Blood",0.0828369652107303
"DMR_28","chr7",24322873,24325371,"GSE213478","Breast",0.138792289475099
"DMR_28","chr7",24322873,24325371,"GSE213478","Colon",0.174738524279566
"DMR_28","chr7",24322873,24325371,"GSE213478","Kidney",0.386102886033533
"DMR_28","chr7",24322873,24325371,"GSE213478","Lung",0.0962551121696681
"DMR_28","chr7",24322873,24325371,"GSE213478","Muscle",0.174601230691523
"DMR_28","chr7",24322873,24325371,"GSE213478","Ovary",0.0929976402895953
"DMR_28","chr7",24322873,24325371,"GSE213478","Prostate",0.112482856957317
"DMR_28","chr7",24322873,24325371,"GSE213478","Testis",0.0505191564785939
"DMR_29","chr6",390933,394966,"GSE213478","Blood",0.0781453033889495
"DMR_29","chr6",390933,394966,"GSE213478","Breast",0.0874364278698318
"DMR_29","chr6",390933,394966,"GSE213478","Colon",0.109519955400452
"DMR_29","chr6",390933,394966,"GSE213478","Kidney",0.0528194727959537
"DMR_29","chr6",390933,394966,"GSE213478","Lung",0.075182418754717
"DMR_29","chr6",390933,394966,"GSE213478","Muscle",0.0790991112514913
"DMR_29","chr6",390933,394966,"GSE213478","Ovary",0.0444525319345301
"DMR_29","chr6",390933,394966,"GSE213478","Prostate",0.0672557358065931
"DMR_29","chr6",390933,394966,"GSE213478","Testis",0.0585213845741529
"DMR_30","chr6",29520698,29521803,"GSE213478","Blood",0.0897690420220946
"DMR_30","chr6",29520698,29521803,"GSE213478","Breast",0.172931761773969
"DMR_30","chr6",29520698,29521803,"GSE213478","Colon",0.168031241243867
"DMR_30","chr6",29520698,29521803,"GSE213478","Kidney",0.148892218994496
"DMR_30","chr6",29520698,29521803,"GSE213478","Lung",0.14659811976889
"DMR_30","chr6",29520698,29521803,"GSE213478","Muscle",0.079637942547682
"DMR_30","chr6",29520698,29521803,"GSE213478","Ovary",0.0495568460351401
"DMR_30","chr6",29520698,29521803,"GSE213478","Prostate",0.154086909448017
"DMR_30","chr6",29520698,29521803,"GSE213478","Testis",0.0369308202632456
"DMR_31","chr1",108505752,108508626,"GSE213478","Blood",0.0284639862260952
"DMR_31","chr1",108505752,108508626,"GSE213478","Breast",0.0808271368011047
"DMR_31","chr1",108505752,108508626,"GSE213478","Colon",0.072395500735282
"DMR_31","chr1",108505752,108508626,"GSE213478","Kidney",0.077392095571921
"DMR_31","chr1",108505752,108508626,"GSE213478","Lung",0.0475587369315145
"DMR_31","chr1",108505752,108508626,"GSE213478","Muscle",0.0815758134036372
"DMR_31","chr1",108505752,108508626,"GSE213478","Ovary",0.0457186843780078
"DMR_31","chr1",108505752,108508626,"GSE213478","Prostate",0.0793061727272709
"DMR_31","chr1",108505752,108508626,"GSE213478","Testis",0.0422211933958752
"DMR_32","chr3",96532006,96533824,"GSE213478","Blood",0.0461785180474154
"DMR_32","chr3",96532006,96533824,"GSE213478","Breast",0.0414846904519231
"DMR_32","chr3",96532006,96533824,"GSE213478","Colon",0.0818249546099794
"DMR_32","chr3",96532006,96533824,"GSE213478","Kidney",0.0424813802439482
"DMR_32","chr3",96532006,96533824,"GSE213478","Lung",0.0463217174851667
"DMR_32","chr3",96532006,96533824,"GSE213478","Muscle",0.0295491102886412
"DMR_32","chr3",96532006,96533824,"GSE213478","Ovary",0.0271710089045047
"DMR_32","chr3",96532006,96533824,"GSE213478","Prostate",0.0391566999309666
"DMR_32","chr3",96532006,96533824,"GSE213478","Testis",0.0283168946215098
"DMR_33","chr8",97504959,97507958,"GSE213478","Blood",0.198316256547585
"DMR_33","chr8",97504959,97507958,"GSE213478","Breast",0.14576703931578
"DMR_33","chr8",97504959,97507958,"GSE213478","Colon",0.146747408365357
"DMR_33","chr8",97504959,97507958,"GSE213478","Kidney",0.146505317981587
"DMR_33","chr8",97504959,97507958,"GSE213478","Lung",0.175803057947014
"DMR_33","chr8",97504959,97507958,"GSE213478","Muscle",0.180889554609857
"DMR_33","chr8",97504959,97507958,"GSE213478","Ovary",0.0858910906959123
"DMR_33","chr8",97504959,97507958,"GSE213478","Prostate",0.129399937681313
"DMR_33","chr8",97504959,97507958,"GSE213478","Testis",0.0798583624036486
"DMR_34","chr8",68862516,68865187,"GSE213478","Blood",0.218624594942805
"DMR_34","chr8",68862516,68865187,"GSE213478","Breast",0.204968554678883
"DMR_34","chr8",68862516,68865187,"GSE213478","Colon",0.247276619673136
"DMR_34","chr8",68862516,68865187,"GSE213478","Kidney",0.199259893940881
"DMR_34","chr8",68862516,68865187,"GSE213478","Lung",0.197147022693281
"DMR_34","chr8",68862516,68865187,"GSE213478","Muscle",0.189773084326778
"DMR_34","chr8",68862516,68865187,"GSE213478","Ovary",0.185855478445825
"DMR_34","chr8",68862516,68865187,"GSE213478","Prostate",0.197350871935054
"DMR_34","chr8",68862516,68865187,"GSE213478","Testis",0.162281602058594
"DMR_35","chr19",36909326,36910116,"GSE213478","Blood",0.0991642855496048
"DMR_35","chr19",36909326,36910116,"GSE213478","Breast",0.0474336992267295
"DMR_35","chr19",36909326,36910116,"GSE213478","Colon",0.0563567919495169
"DMR_35","chr19",36909326,36910116,"GSE213478","Kidney",0.0834963870460243
"DMR_35","chr19",36909326,36910116,"GSE213478","Lung",0.0671130498145443
"DMR_35","chr19",36909326,36910116,"GSE213478","Muscle",0.0309025406157259
"DMR_35","chr19",36909326,36910116,"GSE213478","Ovary",0.0329221112632858
"DMR_35","chr19",36909326,36910116,"GSE213478","Prostate",0.0413000912506852
"DMR_35","chr19",36909326,36910116,"GSE213478","Testis",0.0361954494674646
"DMR_36","chr4",96468962,96471143,"GSE213478","Blood",0.0458997427780928
"DMR_36","chr4",96468962,96471143,"GSE213478","Breast",0.0308801995745099
"DMR_36","chr4",96468962,96471143,"GSE213478","Colon",0.0915324475312193
"DMR_36","chr4",96468962,96471143,"GSE213478","Kidney",0.0312881926137577
"DMR_36","chr4",96468962,96471143,"GSE213478","Lung",0.0382813514331811
"DMR_36","chr4",96468962,96471143,"GSE213478","Muscle",0.0219894769848106
"DMR_36","chr4",96468962,96471143,"GSE213478","Ovary",0.0207013833637539
"DMR_36","chr4",96468962,96471143,"GSE213478","Prostate",0.0333055081465665
"DMR_36","chr4",96468962,96471143,"GSE213478","Testis",0.0215926906341179
"DMR_37","chr8",85094437,85097429,"GSE213478","Blood",0.0821163618670249
"DMR_37","chr8",85094437,85097429,"GSE213478","Breast",0.117457465366653
"DMR_37","chr8",85094437,85097429,"GSE213478","Colon",0.152390294174886
"DMR_37","chr8",85094437,85097429,"GSE213478","Kidney",0.0660172367615766
"DMR_37","chr8",85094437,85097429,"GSE213478","Lung",0.084271790242977
"DMR_37","chr8",85094437,85097429,"GSE213478","Muscle",0.0777940986903253
"DMR_37","chr8",85094437,85097429,"GSE213478","Ovary",0.0759161180176531
"DMR_37","chr8",85094437,85097429,"GSE213478","Prostate",0.102489262488338
"DMR_37","chr8",85094437,85097429,"GSE213478","Testis",0.0561466086869574
"DMR_38","chr13",36870809,36873065,"GSE213478","Blood",0.119795605040561
"DMR_38","chr13",36870809,36873065,"GSE213478","Breast",0.115925264375644
"DMR_38","chr13",36870809,36873065,"GSE213478","Colon",0.141564549282221
"DMR_38","chr13",36870809,36873065,"GSE213478","Kidney",0.111578660155559
"DMR_38","chr13",36870809,36873065,"GSE213478","Lung",0.119681843020363
"DMR_38","chr13",36870809,36873065,"GSE213478","Muscle",0.108750987024787
"DMR_38","chr13",36870809,36873065,"GSE213478","Ovary",0.110406355737961
"DMR_38","chr13",36870809,36873065,"GSE213478","Prostate",0.11300364158137
"DMR_38","chr13",36870809,36873065,"GSE213478","Testis",0.0743458903557278
"DMR_39","chr10",102893925,102896869,"GSE213478","Blood",0.118517839995249
"DMR_39","chr10",102893925,102896869,"GSE213478","Breast",0.149318138955567
"DMR_39","chr10",102893925,102896869,"GSE213478","Colon",0.150291429992557
"DMR_39","chr10",102893925,102896869,"GSE213478","Kidney",0.107969327621692
"DMR_39","chr10",102893925,102896869,"GSE213478","Lung",0.107245685630518
"DMR_39","chr10",102893925,102896869,"GSE213478","Muscle",0.220348461936957
"DMR_39","chr10",102893925,102896869,"GSE213478","Ovary",0.0935014261302898
"DMR_39","chr10",102893925,102896869,"GSE213478","Prostate",0.126143103032405
"DMR_39","chr10",102893925,102896869,"GSE213478","Testis",0.0661703706766998
"DMR_40","chr21",38076709,38083586,"GSE213478","Blood",0.115378940451365
"DMR_40","chr21",38076709,38083586,"GSE213478","Breast",0.220420007010681
"DMR_40","chr21",38076709,38083586,"GSE213478","Colon",0.180837214552623
"DMR_40","chr21",38076709,38083586,"GSE213478","Kidney",0.217607887835691
"DMR_40","chr21",38076709,38083586,"GSE213478","Lung",0.156260407274575
"DMR_40","chr21",38076709,38083586,"GSE213478","Muscle",0.467835725181637
"DMR_40","chr21",38076709,38083586,"GSE213478","Ovary",0.143263124405497
"DMR_40","chr21",38076709,38083586,"GSE213478","Prostate",0.336476570498505
