"DMR_ID","chr","start","end","dataset","nCpG_background","mean_beta_all_background","max_sample_beta","max_group_mean_beta","background_pass"
"DMR_36","chr4",96468962,96471143,"GSE213478",26,0.0448769200190955,0.221727884415471,0.0915324475312193,TRUE
"DMR_37","chr8",85094437,85097429,"GSE213478",20,0.0995856579646163,0.371601675730767,0.152390294174886,TRUE
"DMR_38","chr13",36870809,36873065,"GSE213478",12,0.118855319780897,0.335135059495853,0.141564549282221,TRUE
"DMR_39","chr10",102893925,102896869,"GSE213478",15,0.12326116816989,0.47701413763392,0.220348461936957,FALSE
"DMR_40","chr21",38076709,38083586,"GSE213478",23,0.20007261895379,0.646681955236079,0.467835725181637,FALSE
"DMR_41","chr10",7450112,7455714,"GSE213478",30,0.118710048257782,0.250408306629894,0.140310825186797,TRUE
"DMR_42","chr19",58951434,58952361,"GSE213478",10,0.161866040558343,0.382730176252446,0.192431691116645,TRUE
"DMR_43","chr8",53850809,53854495,"GSE213478",15,0.152678957120489,0.353383048989,0.202950027106952,FALSE
"DMR_44","chr18",44336399,44338147,"GSE213478",7,0.0842264919182981,0.325572810273848,0.10905458387402,TRUE
"DMR_45","chr6",118227732,118229732,"GSE213478",14,0.051149971621192,0.133378259068668,0.0616960567144564,TRUE
"DMR_46","chr7",134142981,134144288,"GSE213478",14,0.113023768310783,0.525320258408324,0.13882418909907,TRUE
"DMR_47","chr3",68979668,68982098,"GSE213478",15,0.154300384778491,0.328140504704425,0.199885708746647,TRUE
"DMR_48","chr8",16884197,16885270,"GSE213478",11,0.0327847518577866,0.151004716577095,0.0619654561776886,TRUE
"DMR_49","chr17",77178665,77179999,"GSE213478",6,0.038807424155852,0.19902956819738,0.0648330753811012,TRUE
"DMR_50","chr1",242686709,242688681,"GSE213478",14,0.0595879884950001,0.21238263615886,0.094839306699363,TRUE
"DMR_51","chr7",152621979,152623304,"GSE213478",7,0.248658243866247,0.569645684120613,0.38151230952022,FALSE
"DMR_52","chr8",72468021,72471153,"GSE213478",13,0.136695143620453,0.567412173866398,0.453949228495793,FALSE
"DMR_53","chr3",13323567,13325360,"GSE213478",9,0.109928420230163,0.380631725461793,0.188109706340154,TRUE
"DMR_54","chr3",192231892,192234611,"GSE213478",10,0.21315199484206,0.44056917097449,0.255159379272949,FALSE
"DMR_55","chr7",127670570,127673038,"GSE213478",15,0.193673053550369,0.546203382869435,0.237340696482175,FALSE
"DMR_56","chr5",127872037,127875163,"GSE213478",23,0.175871541318194,0.370943888147322,0.219207124439337,FALSE
"DMR_57","chr2",105459097,105462246,"GSE213478",11,0.0608150953024929,0.297532159950494,0.107305184845076,TRUE
"DMR_58","chr20",50720731,50723227,"GSE213478",14,0.122692762734087,0.450345767010148,0.148761857544981,TRUE
"DMR_59","chr1",16081988,16085984,"GSE213478",20,0.314388602270533,0.560268109054925,0.470586411451037,FALSE
"DMR_60","chr13",36705041,36706433,"GSE213478",8,0.202147191064651,0.385357948445876,0.265892136349016,FALSE
"DMR_61","chr19",58609269,58611007,"GSE213478",14,0.0941828073190646,0.289031977081048,0.123867912974485,TRUE
"DMR_62","chr1",57887655,57890636,"GSE213478",13,0.0559414003566008,0.24821693830151,0.101216905575159,TRUE
"DMR_63","chr19",12201983,12203946,"GSE213478",7,0.302780742625082,0.466651101043585,0.345870142369623,FALSE
"DMR_64","chr4",166793622,166796212,"GSE213478",22,0.0632330632242611,0.190098933152192,0.103958994229326,TRUE
"DMR_65","chr20",53091600,53093152,"GSE213478",12,0.0588403972957053,0.263374384883993,0.087814646619014,TRUE
"DMR_66","chr13",79169714,79171679,"GSE213478",17,0.154182767142375,0.397441234887844,0.233746381452611,FALSE
"DMR_67","chr7",158935647,158938780,"GSE213478",10,0.20937737849721,0.416698842077004,0.282737818179396,FALSE
"DMR_68","chr13",88323266,88326918,"GSE213478",21,0.049623254128214,0.200501576106667,0.0875277007090141,TRUE
"DMR_69","chr15",79381747,79383980,"GSE213478",26,0.0466143277604151,0.237617564365536,0.0877936819062314,TRUE
"DMR_70","chr2",70994758,70996021,"GSE213478",18,0.157301690944962,0.33432453290757,0.182814855531683,TRUE
"DMR_71","chr18",7116421,7119131,"GSE213478",10,0.0640595644980329,0.351811877455363,0.149392357436247,TRUE
"DMR_72","chr2",139537131,139539181,"GSE213478",13,0.203549035642841,0.445925412660715,0.284321350689729,FALSE
"DMR_73","chr7",50342251,50345049,"GSE213478",11,0.268353514265128,0.348117075048999,0.291487791259451,FALSE
"DMR_74","chr20",25061762,25065553,"GSE213478",24,0.119031517445598,0.456718770207448,0.174307552978614,TRUE
"DMR_75","chr5",178016195,178019014,"GSE213478",19,0.21403945878148,0.301694817529113,0.244047383515641,FALSE
"DMR_76","chr6",105584149,105585762,"GSE213478",17,0.183335886867184,0.419873588138862,0.227612742819336,FALSE
"DMR_77","chr13",53419596,53420933,"GSE213478",8,0.115440824472465,0.367560564638897,0.214634198623518,FALSE
"DMR_78","chr19",52872727,52873624,"GSE213478",14,0.0851492163744533,0.277645222545598,0.137492637287277,TRUE
"DMR_79","chr11",91956670,91960644,"GSE213478",13,0.111132967214228,0.357787251198997,0.145191423318349,TRUE
"DMR_80","chr7",103629099,103631129,"GSE213478",14,0.0568517146425803,0.21766479465847,0.103634961013003,TRUE
"DMR_81","chr5",178770629,178773708,"GSE213478",14,0.146361553948421,0.290728981898645,0.170689711437009,TRUE
"DMR_82","chr15",84115371,84116920,"GSE213478",13,0.236920825300627,0.3969875392268,0.273889536584831,FALSE
"DMR_83","chr9",101469203,101471607,"GSE213478",9,0.0778105620164503,0.212659292842789,0.11751215888703,TRUE
"DMR_84","chr12",104696685,104697983,"GSE213478",14,0.169336498876699,0.430933880987655,0.215628903613238,FALSE
"DMR_85","chr5",170742118,170745466,"GSE213478",11,0.108991271999438,0.513010500147165,0.165722037455795,TRUE
"DMR_86","chr9",124460262,124464871,"GSE213478",12,0.364754648903777,0.615006967809171,0.547600767111731,FALSE
"DMR_87","chr8",48100081,48100957,"GSE213478",7,0.138990202883239,0.275216950793242,0.171881816612889,TRUE
"DMR_88","chr13",23733305,23735282,"GSE213478",8,0.333137607734321,0.511314994211776,0.395022254058331,FALSE
"DMR_89","chr6",166577862,166583523,"GSE213478",26,0.157423641218716,0.276640289086646,0.202811103809632,FALSE
"DMR_90","chr11",134145490,134147837,"GSE213478",17,0.108672698538435,0.255603675642713,0.132837367566132,TRUE
"DMR_91","chr3",185911208,185912486,"GSE213478",7,0.333580804868006,0.685472398826746,0.425457024818471,FALSE
"DMR_92","chr5",136833216,136834863,"GSE213478",10,0.177753284083736,0.389255616616648,0.242506240547034,FALSE
"DMR_93","chr10",105036495,105038444,"GSE213478",13,0.0637480512645378,0.397365232700164,0.114120172350093,TRUE
"DMR_94","chr20",61806628,61810902,"GSE213478",21,0.0597544827384495,0.256978078684408,0.108661214552136,TRUE
"DMR_95","chr4",156587892,156589349,"GSE213478",15,0.0408573946733096,0.145938495162938,0.07165347175875,TRUE
"DMR_96","chr4",134067133,134070598,"GSE213478",16,0.0529045940806123,0.264885163530869,0.101283684140216,TRUE
"DMR_97","chr11",111410878,111412172,"GSE213478",13,0.120708753694417,0.479638152227462,0.167029763166721,TRUE
"DMR_98","chr13",102568345,102570482,"GSE213478",10,0.0904060369579972,0.338362724015855,0.157390462700375,TRUE
"DMR_99","chr1",237204939,237207256,"GSE213478",14,0.147049592786268,0.433208049868491,0.205578489081609,FALSE
"DMR_100","chr1",200002343,200006247,"GSE213478",17,0.221537710821193,0.607980690914277,0.326215865799158,FALSE
"DMR_101","chr2",193058172,193061253,"GSE213478",14,0.113200218010458,0.260349354160553,0.143541463953183,TRUE
"DMR_102","chr11",65600773,65601427,"GSE213478",12,0.0343273393482965,0.215525296774988,0.0469548797440528,TRUE
"DMR_103","chr7",145812625,145814306,"GSE213478",15,0.0956049539322538,0.328214449430094,0.165126104986475,TRUE
"DMR_104","chr8",89338965,89341103,"GSE213478",12,0.0554920712332901,0.227466988617547,0.0892004412400857,TRUE
"DMR_105","chr13",95618902,95620997,"GSE213478",6,0.108740768781425,0.342970159792971,0.139708782945209,TRUE
"DMR_106","chr8",97169621,97174382,"GSE213478",25,0.13405413335079,0.393795810907989,0.169426014792243,TRUE
"DMR_107","chr8",69240774,69244553,"GSE213478",18,0.183934954336281,0.327686040789737,0.225052228625327,FALSE
"DMR_108","chr2",137521943,137523892,"GSE213478",9,0.102439184386235,0.337310002909948,0.133706139750977,TRUE
"DMR_109","chr3",237137,240139,"GSE213478",24,0.180089072638655,0.480869983146691,0.274684939063193,FALSE
"DMR_110","chr6",94126141,94129636,"GSE213478",16,0.0595086531188553,0.181937608011392,0.0752323419585906,TRUE
"DMR_111","chr16",28072873,28076248,"GSE213478",16,0.168522542394703,0.288338235087313,0.185366572384887,TRUE
"DMR_112","chr7",84814140,84816843,"GSE213478",14,0.112892595493629,0.238624789499721,0.148060654981799,TRUE
"DMR_113","chr20",37433247,37435978,"GSE213478",17,0.263801358975777,0.453132353626479,0.31926872657266,FALSE
"DMR_114","chr15",83775590,83777082,"GSE213478",17,0.177841563504421,0.295751999795607,0.239752590240744,FALSE
"DMR_115","chr1",91182215,91185922,"GSE213478",25,0.111280831637815,0.450439802060604,0.16614759068025,TRUE
"DMR_116","chr17",6616351,6617470,"GSE213478",14,0.118140415186921,0.32715134209195,0.167844482548262,TRUE
"DMR_117","chr2",164592477,164594200,"GSE213478",10,0.213929745082264,0.379785263044641,0.258909874633706,FALSE
"DMR_118","chr4",110222806,110224951,"GSE213478",21,0.116859067586099,0.259149304674962,0.148174591730618,TRUE
"DMR_119","chr11",105479843,105481988,"GSE213478",26,0.0984037440627022,0.434811016418913,0.163215319219539,TRUE
"DMR_120","chr11",20689672,20693928,"GSE213478",23,0.117453252849584,0.333418992972629,0.189823371004592,TRUE
"DMR_121","chr2",119599067,119600948,"GSE213478",14,0.133620169395782,0.527259335575476,0.363620736921841,FALSE
"DMR_122","chr2",154727485,154730326,"GSE213478",21,0.133172067768295,0.399750793825322,0.189869560171232,TRUE
"DMR_123","chr6",85471973,85474803,"GSE213478",18,0.0951458470501316,0.44562556995753,0.139181599315397,TRUE
"DMR_124","chr12",65218019,65220152,"GSE213478",18,0.0627176282835542,0.601436151586874,0.0867424357896222,TRUE
"DMR_125","chr4",5712426,5713546,"GSE213478",10,0.100815688941338,0.302794028305057,0.154891060599727,TRUE
"DMR_126","chr1",119548527,119551851,"GSE213478",17,0.15308590132739,0.563774895409231,0.456898233039226,FALSE
"DMR_127","chr7",93519220,93521196,"GSE213478",18,0.258344284170946,0.43769921660948,0.297960344982515,FALSE
"DMR_128","chr15",48935514,48939483,"GSE213478",15,0.216252286849437,0.360716059860927,0.332524837767267,FALSE
"DMR_129","chr9",37026418,37027815,"GSE213478",7,0.0621404397556015,0.292759592709598,0.11401819804855,TRUE
"DMR_130","chr2",40677600,40680611,"GSE213478",12,0.202935002357118,0.390591590373143,0.244655701661323,FALSE
"DMR_131","chr2",29335792,29339806,"GSE213478",17,0.26179477382507,0.506533567158227,0.326405353634931,FALSE
"DMR_132","chr1",77331940,77334748,"GSE213478",17,0.150338671428175,0.381868769667059,0.184467993460001,TRUE
"DMR_133","chr18",25754301,25758434,"GSE213478",21,0.104850143068478,0.280207220637164,0.147811984159309,TRUE
"DMR_134","chr6",72129198,72131020,"GSE213478",12,0.1876241868105,0.445662538903043,0.331478453968958,FALSE
"DMR_135","chr16",51182904,51190201,"GSE213478",51,0.145869683116781,0.388126207680444,0.218284129140486,FALSE
"DMR_136","chr15",79723173,79725642,"GSE213478",15,0.148955215346992,0.306164633323675,0.189348119916866,TRUE
"DMR_137","chr16",66612290,66614916,"GSE213478",16,0.383653310639645,0.695513926494564,0.579369527402324,FALSE
"DMR_138","chr2",68545433,68548142,"GSE213478",22,0.17890235703986,0.382217693270259,0.23024106693208,FALSE
"DMR_139","chr7",19155785,19159569,"GSE213478",30,0.177386249179331,0.42869783342209,0.3324850147211,FALSE
"DMR_140","chr5",87973439,87974547,"GSE213478",10,0.124461008717001,0.460064160067291,0.173689135547882,TRUE
"DMR_141","chr13",102067343,102069556,"GSE213478",15,0.211858998112308,0.380974852324362,0.270387447723105,FALSE
"DMR_142","chr8",55379034,55380663,"GSE213478",8,0.104551220143562,0.520732982616063,0.167266452351662,TRUE
"DMR_143","chr6",85482570,85484863,"GSE213478",10,0.0979371625563564,0.519063679741529,0.173405704644311,TRUE
"DMR_144","chr13",109147160,109149171,"GSE213478",6,0.17572985948809,0.415326840171793,0.250569892267541,FALSE
"DMR_145","chr19",53757677,53758609,"GSE213478",7,0.0751165730253989,0.334335324198396,0.159091902646728,TRUE
"DMR_146","chr5",115151427,115153615,"GSE213478",14,0.240680970087507,0.587747416760809,0.28904474036761,FALSE
"DMR_147","chr2",182320901,182322898,"GSE213478",17,0.251872584077925,0.576224278775621,0.301262111808917,FALSE
"DMR_148","chr4",17781880,17784060,"GSE213478",15,0.143176421947358,0.305609587975519,0.202604071456006,FALSE
"DMR_149","chr13",25620954,25621735,"GSE213478",6,0.0664648454839075,0.280155955686193,0.117155430818815,TRUE
"DMR_150","chr20",59826138,59829060,"GSE213478",9,0.244895882796554,0.458639225459821,0.309765252227899,FALSE
"DMR_151","chr1",33219158,33220450,"GSE213478",9,0.102581504995103,0.356772923376644,0.14328514764801,TRUE
"DMR_152","chr19",13616871,13617970,"GSE213478",10,0.0618592630625638,0.220944428793461,0.0928930501850731,TRUE
"DMR_153","chr7",108095719,108097606,"GSE213478",12,0.0597893306484289,0.186065385553482,0.0950947910947918,TRUE
"DMR_154","chr18",18821328,18823509,"GSE213478",14,0.0706345527640215,0.258830205282773,0.118971399648236,TRUE
"DMR_155","chr4",157996014,157998201,"GSE213478",16,0.256262229038335,0.490462471350002,0.324569550199578,FALSE
"DMR_156","chr19",21657164,21658001,"GSE213478",7,0.155266255728262,0.45511785722302,0.216981471978757,FALSE
"DMR_157","chr4",21949853,21951046,"GSE213478",11,0.0978873877901197,0.336933608448228,0.174482016948287,TRUE
"DMR_158","chr11",110581434,110584727,"GSE213478",25,0.109484973126768,0.169770260233235,0.14562114307319,TRUE
"DMR_159","chr12",24714652,24717178,"GSE213478",18,0.0367007002892551,0.0915423582245446,0.0529430078324196,TRUE
"DMR_160","chr6",127438426,127442679,"GSE213478",24,0.103212591535796,0.184120540628912,0.111942074453167,TRUE
"DMR_161","chr6",159588564,159591121,"GSE213478",8,0.267434991826208,0.500556477603199,0.348633820054843,FALSE
"DMR_162","chr13",95362829,95366456,"GSE213478",25,0.10010963225111,0.26122086341259,0.150552170422421,TRUE
"DMR_163","chr13",96296144,96297326,"GSE213478",12,0.0561481228330731,0.164205056308685,0.0821049540100455,TRUE
"DMR_164","chr3",140769274,140771786,"GSE213478",20,0.0797906895579371,0.181541875984492,0.101307364091723,TRUE
"DMR_165","chr6",166421992,166422741,"GSE213478",6,0.0601762932878792,0.28112739693187,0.0903153857224238,TRUE
"DMR_166","chr9",133534961,133542125,"GSE213478",18,0.074212342631459,0.328399026799875,0.123551172782032,TRUE
"DMR_167","chr9",841067,843748,"GSE213478",11,0.084308056168804,0.420544420666557,0.129191428836919,TRUE
"DMR_168","chr18",5894665,5896267,"GSE213478",10,0.0615839838297389,0.266838890804754,0.081067297499051,TRUE
"DMR_169","chr19",52900882,52901639,"GSE213478",12,0.0463205072081392,0.181005734552532,0.0718417844818183,TRUE
"DMR_170","chr20",24448346,24452131,"GSE213478",22,0.181393463129748,0.380382206549566,0.230984106651281,FALSE
"DMR_171","chr12",133484026,133485856,"GSE213478",6,0.0366427160466862,0.183175833233906,0.0570421521097675,TRUE
"DMR_172","chr8",70980488,70984917,"GSE213478",20,0.20684409176089,0.613087829463531,0.250801782575013,FALSE
"DMR_173","chr7",43151168,43153950,"GSE213478",20,0.0886907854264372,0.232333910831324,0.124280334478578,TRUE
"DMR_174","chr11",503270,504937,"GSE213478",14,0.303603960983519,0.63738291257406,0.53541576952475,FALSE
"DMR_175","chr5",1930801,1932098,"GSE213478",7,0.0812819192879486,0.501012267534384,0.128529730440919,TRUE
"DMR_176","chr20",8111582,8113630,"GSE213478",15,0.158290927169321,0.290143029923767,0.184438641157942,TRUE
"DMR_177","chr10",57389301,57391427,"GSE213478",11,0.120240252049609,0.32762551844859,0.161755061759,TRUE
"DMR_178","chr11",24518149,24518726,"GSE213478",12,0.0658043007012655,0.293428701228903,0.130796166656229,TRUE
"DMR_179","chr12",5018229,5021871,"GSE213478",22,0.198782224849192,0.414001255666329,0.222697304068275,FALSE
"DMR_180","chr8",104510754,104514118,"GSE213478",20,0.0524177869310439,0.134818408287619,0.0671420135070224,TRUE
"DMR_181","chr7",27140797,27148002,"GSE213478",39,0.502981130134471,0.945830005692116,0.797412713650668,FALSE
"DMR_182","chr16",22824489,22826243,"GSE213478",16,0.0770362433374676,0.299819464038845,0.135128026859818,TRUE
"DMR_183","chr4",82135607,82136940,"GSE213478",13,0.0465482431311708,0.190009293084836,0.0674417744664372,TRUE
"DMR_184","chr6",73329475,73333620,"GSE213478",21,0.0975325850781265,0.415974747162953,0.212903327879201,FALSE
"DMR_185","chr10",91294781,91296457,"GSE213478",16,0.228521302978356,0.448340917035771,0.256917560786821,FALSE
"DMR_186","chr14",63511872,63513359,"GSE213478",10,0.086627335998478,0.358436402348611,0.175441723746388,TRUE
"DMR_187","chr14",97684259,97686001,"GSE213478",11,0.139696469038355,0.357966757788589,0.182012073148001,TRUE
"DMR_188","chr20",21491952,21498921,"GSE213478",27,0.158194109346437,0.36585469833139,0.18681077547129,TRUE
"DMR_189","chr19",15580010,15580721,"GSE213478",7,0.184670692766717,0.630911653471615,0.27106485207656,FALSE
"DMR_190","chr3",129692836,129694665,"GSE213478",18,0.319420527830136,0.639303152510558,0.400288798337235,FALSE
"DMR_191","chr3",24869928,24872319,"GSE213478",7,0.193746466681968,0.303235859993108,0.238842259478054,FALSE
"DMR_192","chr16",56223970,56228901,"GSE213478",32,0.0710788429824762,0.145886643630859,0.0970629399357327,TRUE
"DMR_193","chr6",80656586,80658030,"GSE213478",14,0.0881296893035509,0.183278318310219,0.0994530694198685,TRUE
"DMR_194","chr3",68056706,68057572,"GSE213478",6,0.148400275589148,0.389137012578288,0.20990211269808,FALSE
"DMR_195","chr2",185462269,185463803,"GSE213478",14,0.0457828495950281,0.322556590383476,0.069498089725242,TRUE
"DMR_196","chr2",210636188,210636844,"GSE213478",10,0.0908258539585122,0.395803442808581,0.18436145929154,TRUE
"DMR_197","chr4",111549880,111555503,"GSE213478",21,0.159347393155792,0.673250926475071,0.578263630591752,FALSE
"DMR_198","chr8",72752888,72758701,"GSE213478",34,0.186645370008378,0.444315688253039,0.261696831441172,FALSE
"DMR_199","chr7",155241490,155244727,"GSE213478",13,0.0628794212718493,0.485298651309906,0.0927588072118053,TRUE
"DMR_200","chr12",106978920,106981513,"GSE213478",13,0.0808739305372463,0.39584800760864,0.330715235388713,FALSE
"DMR_201","chr4",107955762,107958805,"GSE213478",14,0.085867029009386,0.332732612540429,0.146166699453752,TRUE
"DMR_202","chr8",54789207,54795315,"GSE213478",28,0.0620465345873469,0.198892271582948,0.0870155349377906,TRUE
"DMR_203","chr16",3233068,3234346,"GSE213478",5,0.066774747894185,0.326609495997796,0.124937393477781,FALSE
"DMR_204","chr13",112758379,112763963,"GSE213478",25,0.208919632435148,0.550386542443533,0.292735867739461,FALSE
"DMR_205","chr1",4714008,4716554,"GSE213478",14,0.0642739285337642,0.371373121058178,0.170577947909932,TRUE
"DMR_206","chr1",14923736,14926521,"GSE213478",15,0.229373176540838,0.402058929832638,0.289901545028625,FALSE
"DMR_207","chr11",94500612,94502879,"GSE213478",21,0.151596523973154,0.265399562347674,0.197804773775007,TRUE
"DMR_208","chr3",44063315,44063832,"GSE213478",6,0.0990852782159989,0.545729904099491,0.196762557849999,TRUE
"DMR_209","chr10",26503187,26507383,"GSE213478",24,0.0755720486286032,0.450016616795991,0.121657238076704,TRUE
"DMR_210","chr20",21487412,21490665,"GSE213478",8,0.116391542329963,0.415386705887676,0.160492923777791,TRUE
"DMR_211","chr7",21582064,21584483,"GSE213478",13,0.268225593768988,0.408844559814209,0.325362587990405,FALSE
"DMR_212","chr14",23834477,23836047,"GSE213478",12,0.170338627489061,0.545590190581718,0.30048165850979,FALSE
"DMR_213","chr14",57282784,57284528,"GSE213478",7,0.0844624923607245,0.593085188434709,0.127474969368531,TRUE
"DMR_214","chr1",119526060,119532925,"GSE213478",42,0.217236130423969,0.534253093383817,0.399125525175059,FALSE
"DMR_215","chr10",106398816,106402908,"GSE213478",21,0.0790462263327961,0.332878425040571,0.149546395679343,TRUE
"DMR_216","chr19",56879036,56880388,"GSE213478",15,0.220163988975128,0.46657717037682,0.271470565712293,FALSE
"DMR_217","chr13",96204265,96206104,"GSE213478",18,0.26967252922634,0.586914831673997,0.438178376607902,FALSE
"DMR_218","chr11",69631981,69635508,"GSE213478",25,0.0948810234542701,0.264124492393102,0.150437946386184,TRUE
"DMR_219","chr3",154796045,154798648,"GSE213478",20,0.121583923847373,0.21405628026741,0.142865172865735,TRUE
"DMR_220","chr7",137531173,137533035,"GSE213478",9,0.118325831393466,0.329277917127047,0.195154411706163,TRUE
"DMR_221","chr14",48143434,48145588,"GSE213478",14,0.0780958947402435,0.470264070810895,0.184296327941076,TRUE
"DMR_222","chr14",57263369,57266029,"GSE213478",13,0.172709423649542,0.58965996384009,0.26282508371022,FALSE
"DMR_223","chr10",50816058,50818911,"GSE213478",15,0.110061992073533,0.323796623685537,0.180567307758964,TRUE
"DMR_224","chr7",19145530,19148187,"GSE213478",11,0.15046275397331,0.539428158810848,0.215149873326278,FALSE
"DMR_225","chr12",41085286,41087584,"GSE213478",17,0.120820447542928,0.577651281164715,0.179648977222461,TRUE
"DMR_226","chr16",10274064,10277505,"GSE213478",26,0.0795034739730556,0.26341991061379,0.11601377776953,TRUE
"DMR_227","chr7",19812327,19813525,"GSE213478",17,0.121294909127664,0.31658695802397,0.169302812316916,TRUE
"DMR_228","chr5",1878499,1888218,"GSE213478",54,0.152017292850346,0.360718683663499,0.237350536313931,FALSE
"DMR_229","chr3",179754239,179755696,"GSE213478",11,0.126740701926558,0.39280457256188,0.195735671576642,TRUE
"DMR_230","chr20",37351841,37358077,"GSE213478",23,0.0849837232904386,0.343780490278437,0.163048275108412,TRUE
"DMR_231","chr21",27010160,27012878,"GSE213478",14,0.138155979099139,0.18532525099232,0.170100256124047,TRUE
"DMR_232","chr20",2780114,2782348,"GSE213478",16,0.129749429400531,0.509651062569649,0.195651236316586,TRUE
"DMR_233","chr11",15135329,15136688,"GSE213478",12,0.254619743103828,0.50929959957927,0.300257743874586,FALSE
"DMR_234","chr16",3354260,3356149,"GSE213478",22,0.177604683198118,0.400292621078967,0.221594602265182,FALSE
"DMR_1","chr19",37997105,37998171,"GSE48472",13,0.0717989169368132,0.107589986538462,0.0813011073692308,TRUE
"DMR_2","chr8",67343066,67345767,"GSE48472",11,0.187246117428571,0.227092457454545,0.219641608018182,FALSE
"DMR_3","chr3",192126023,192127991,"GSE48472",15,0.0968747187833333,0.2834944558,0.246712433216667,FALSE
"DMR_4","chr19",12266489,12267897,"GSE48472",9,0.0877182197361111,0.148183721444444,0.126023420288889,TRUE
"DMR_5","chr13",28500882,28503812,"GSE48472",14,0.190005316711735,0.530687637,0.506387654,FALSE
"DMR_6","chr1",47909234,47912753,"GSE48472",15,0.207647191788095,0.3007295072,0.271041750033333,FALSE
"DMR_7","chr6",62995523,62997123,"GSE48472",14,0.118117544506378,0.247122182357143,0.140942019771429,TRUE
