"DMR_ID","chr","start","end","n_background_datasets","n_background_pass","min_nCpG_background","max_nCpG_background","max_beta_across_background","mean_beta_across_background","background_pass_all"
"DMR_38","chr13",36870809,36873065,2,2,12,15,0.15743604452,0.120366845354139,TRUE
"DMR_39","chr10",102893925,102896869,2,0,15,16,0.315461011,0.172440529637958,FALSE
"DMR_40","chr21",38076709,38083586,2,0,23,26,0.506748722523077,0.242150218210755,FALSE
"DMR_41","chr10",7450112,7455714,2,2,25,30,0.18351085336,0.148940467494963,TRUE
"DMR_42","chr19",58951434,58952361,2,1,10,11,0.246882317327273,0.183527979443944,FALSE
"DMR_43","chr8",53850809,53854495,2,0,15,17,0.213814232635294,0.131713110655308,FALSE
"DMR_44","chr18",44336399,44338147,2,2,7,8,0.198313855425,0.123892941420087,TRUE
"DMR_45","chr6",118227732,118229732,2,2,14,14,0.135027299771429,0.0786305469285807,TRUE
"DMR_46","chr7",134142981,134144288,2,1,14,15,0.21990556412,0.142690399990511,FALSE
"DMR_47","chr3",68979668,68982098,2,1,14,15,0.213027882228571,0.154298626607358,FALSE
"DMR_48","chr8",16884197,16885270,2,2,8,11,0.0900286558333333,0.0513803407737594,TRUE
"DMR_49","chr17",77178665,77179999,2,2,6,6,0.0871094368333333,0.0524488232163189,TRUE
"DMR_50","chr1",242686709,242688681,2,2,12,14,0.147390381416667,0.0910010323010715,TRUE
"DMR_51","chr7",152621979,152623304,2,0,7,11,0.38151230952022,0.214179747091403,FALSE
"DMR_52","chr8",72468021,72471153,2,0,13,13,0.514541832576923,0.159671017107617,FALSE
"DMR_53","chr3",13323567,13325360,2,2,9,10,0.188109706340154,0.120047609865974,TRUE
"DMR_54","chr3",192231892,192234611,2,1,8,10,0.255159379272949,0.183390306058307,FALSE
"DMR_55","chr7",127670570,127673038,2,0,15,16,0.580458928875,0.244103723987238,FALSE
"DMR_56","chr5",127872037,127875163,2,0,17,23,0.310871250518717,0.22070802300521,FALSE
"DMR_57","chr2",105459097,105462246,2,2,11,14,0.115543935,0.0808098140141291,TRUE
"DMR_58","chr20",50720731,50723227,2,1,8,14,0.273977416275,0.148850206942936,FALSE
"DMR_59","chr1",16081988,16085984,2,0,11,20,0.470586411451037,0.277463407711565,FALSE
"DMR_60","chr13",36705041,36706433,2,0,8,8,0.285903059897727,0.225320204426299,FALSE
"DMR_61","chr19",58609269,58611007,2,2,14,14,0.133545603045954,0.103029110282423,TRUE
"DMR_62","chr1",57887655,57890636,2,2,13,15,0.117998436546667,0.077176248287229,TRUE
"DMR_63","chr19",12201983,12203946,2,0,7,8,0.3728606524,0.282598704597139,FALSE
"DMR_64","chr4",166793622,166796212,2,2,17,22,0.116670787686275,0.0832887322418574,TRUE
"DMR_65","chr20",53091600,53093152,2,2,12,12,0.159005033479167,0.0908397690012752,TRUE
"DMR_66","chr13",79169714,79171679,2,0,16,17,0.338531984510417,0.189124610485808,FALSE
"DMR_67","chr7",158935647,158938780,2,0,10,13,0.282737818179396,0.208009092487616,FALSE
"DMR_68","chr13",88323266,88326918,2,2,20,21,0.10822343275,0.0714881260074106,TRUE
"DMR_69","chr15",79381747,79383980,2,2,24,26,0.124696299725,0.0722562196558772,TRUE
"DMR_70","chr2",70994758,70996021,2,2,14,18,0.194155884178571,0.163895378159981,TRUE
"DMR_71","chr18",7116421,7119131,2,2,9,10,0.149392357436247,0.0704745936379053,TRUE
"DMR_72","chr2",139537131,139539181,2,0,13,13,0.284321350689729,0.212769706969772,FALSE
"DMR_73","chr7",50342251,50345049,2,0,11,11,0.291487791259451,0.237620985324204,FALSE
"DMR_74","chr20",25061762,25065553,2,2,20,24,0.1994688080625,0.140242852624585,TRUE
"DMR_75","chr5",178016195,178019014,2,0,17,19,0.244047383515641,0.210095581537274,FALSE
"DMR_76","chr6",105584149,105585762,2,0,9,17,0.227612742819336,0.17246125987506,FALSE
"DMR_77","chr13",53419596,53420933,2,1,8,8,0.214634198623518,0.139911640274179,FALSE
"DMR_78","chr19",52872727,52873624,2,2,10,14,0.137492637287277,0.0897471546524052,TRUE
"DMR_79","chr11",91956670,91960644,2,2,13,14,0.195949460285714,0.136042884320762,TRUE
"DMR_80","chr7",103629099,103631129,2,2,14,14,0.103634961013003,0.0745564148640688,TRUE
"DMR_81","chr5",178770629,178773708,2,2,14,14,0.170689711437009,0.141775056618981,TRUE
"DMR_82","chr15",84115371,84116920,2,0,13,13,0.273889536584831,0.223301628760204,FALSE
"DMR_83","chr9",101469203,101471607,2,2,9,9,0.150290853191919,0.108996360106439,TRUE
"DMR_84","chr12",104696685,104697983,2,0,12,14,0.332912401883333,0.188855929697278,FALSE
"DMR_85","chr5",170742118,170745466,2,2,10,11,0.194017408366667,0.141948483913112,TRUE
"DMR_86","chr9",124460262,124464871,2,0,10,12,0.5670013255,0.315175458737603,FALSE
"DMR_87","chr8",48100081,48100957,2,1,7,9,0.245973337511111,0.161114058902929,FALSE
"DMR_88","chr13",23733305,23735282,2,0,8,8,0.395022254058331,0.301933727045732,FALSE
"DMR_89","chr6",166577862,166583523,2,1,23,26,0.202811103809632,0.139465756100041,FALSE
"DMR_90","chr11",134145490,134147837,2,1,17,17,0.208325438270588,0.145841040809659,FALSE
"DMR_91","chr3",185911208,185912486,2,0,7,9,0.425457024818471,0.332665563299082,FALSE
"DMR_92","chr5",136833216,136834863,2,0,9,10,0.278293342638889,0.208028927932741,FALSE
"DMR_93","chr10",105036495,105038444,2,2,12,13,0.125899313833333,0.0771219682230427,TRUE
"DMR_94","chr20",61806628,61810902,2,2,21,23,0.125774106498024,0.0871603107946906,TRUE
"DMR_95","chr4",156587892,156589349,2,2,13,15,0.0952405775230769,0.0643825261773141,TRUE
"DMR_96","chr4",134067133,134070598,2,2,16,21,0.111031229619048,0.074786994715051,TRUE
"DMR_97","chr11",111410878,111412172,2,1,11,13,0.277466981290909,0.156922940099643,FALSE
"DMR_98","chr13",102568345,102570482,2,2,10,10,0.17421774298,0.115577419000427,TRUE
"DMR_99","chr1",237204939,237207256,2,0,10,14,0.205578489081609,0.162296080056527,FALSE
"DMR_100","chr1",200002343,200006247,2,0,17,17,0.587972267647059,0.268536576323412,FALSE
"DMR_101","chr2",193058172,193061253,2,1,10,14,0.20739594986,0.146442522670408,FALSE
"DMR_102","chr11",65600773,65601427,2,2,12,12,0.0995949747833333,0.0503984426689399,TRUE
"DMR_103","chr7",145812625,145814306,2,2,15,17,0.165126104986475,0.107987555302261,TRUE
"DMR_104","chr8",89338965,89341103,2,2,12,13,0.143438839442308,0.0920684185143099,TRUE
"DMR_105","chr13",95618902,95620997,2,1,6,6,0.236510113066667,0.148907199066308,FALSE
"DMR_106","chr8",97169621,97174382,2,1,23,25,0.232571613532609,0.142789146254588,FALSE
"DMR_107","chr8",69240774,69244553,2,0,15,18,0.232858973266667,0.197963775764569,FALSE
"DMR_108","chr2",137521943,137523892,2,2,8,9,0.133706139750977,0.0976377002678945,TRUE
"DMR_109","chr3",237137,240139,2,1,15,24,0.274684939063193,0.15401117670147,FALSE
"DMR_110","chr6",94126141,94129636,2,2,16,18,0.151572439544444,0.0944045754775824,TRUE
"DMR_111","chr16",28072873,28076248,2,1,14,16,0.204230221971429,0.172636585019418,FALSE
"DMR_112","chr7",84814140,84816843,2,2,14,14,0.186861822,0.139654719711738,TRUE
"DMR_113","chr20",37433247,37435978,2,0,17,17,0.359844526073529,0.250819161286733,FALSE
"DMR_114","chr15",83775590,83777082,2,0,13,17,0.251867859211538,0.17970807076526,FALSE
"DMR_115","chr1",91182215,91185922,2,1,25,25,0.217621537272,0.149003813203193,FALSE
"DMR_116","chr17",6616351,6617470,2,2,11,14,0.167844482548262,0.119679868279337,TRUE
"DMR_117","chr2",164592477,164594200,2,0,10,12,0.258909874633706,0.211627422978632,FALSE
"DMR_118","chr4",110222806,110224951,2,2,21,21,0.180870691038095,0.136492894023067,TRUE
"DMR_119","chr11",105479843,105481988,2,2,18,26,0.163215319219539,0.112505437236708,TRUE
"DMR_120","chr11",20689672,20693928,2,2,20,23,0.189823371004592,0.124934751733274,TRUE
"DMR_121","chr2",119599067,119600948,2,0,13,14,0.670751339107692,0.194131210052973,FALSE
"DMR_122","chr2",154727485,154730326,2,2,17,21,0.189869560171232,0.142373602824273,TRUE
"DMR_123","chr6",85471973,85474803,2,2,17,18,0.1789988694,0.119175607234099,TRUE
"DMR_124","chr12",65218019,65220152,2,1,11,18,0.540073351727273,0.103441693843887,FALSE
"DMR_125","chr4",5712426,5713546,2,2,10,11,0.154891060599727,0.114378665559955,TRUE
"DMR_126","chr1",119548527,119551851,2,0,16,17,0.48944267628125,0.197839708329431,FALSE
"DMR_127","chr7",93519220,93521196,2,0,18,23,0.31548934086087,0.259232462506068,FALSE
"DMR_128","chr15",48935514,48939483,2,0,14,15,0.356903682842857,0.262293497360305,FALSE
"DMR_129","chr9",37026418,37027815,2,2,7,7,0.164057453057143,0.0905972446163212,TRUE
"DMR_130","chr2",40677600,40680611,2,1,10,12,0.244655701661323,0.169467578738381,FALSE
"DMR_131","chr2",29335792,29339806,2,0,16,17,0.326405353634931,0.231601292887423,FALSE
"DMR_132","chr1",77331940,77334748,2,2,16,17,0.184467993460001,0.140515152249802,TRUE
"DMR_133","chr18",25754301,25758434,2,2,17,21,0.182767322529412,0.134495054789491,TRUE
"DMR_134","chr6",72129198,72131020,2,0,12,13,0.331478453968958,0.180118540147695,FALSE
"DMR_135","chr16",51182904,51190201,2,0,48,51,0.218284129140486,0.147419152788115,FALSE
"DMR_136","chr15",79723173,79725642,2,1,13,15,0.233055461576923,0.175240563919375,FALSE
"DMR_137","chr16",66612290,66614916,2,0,13,16,0.579369527402324,0.375872355521059,FALSE
"DMR_138","chr2",68545433,68548142,2,0,16,22,0.240753489477273,0.188218535080756,FALSE
"DMR_139","chr7",19155785,19159569,2,1,30,35,0.3324850147211,0.16117590665191,FALSE
"DMR_140","chr5",87973439,87974547,2,1,10,12,0.224525462083333,0.161676819840643,FALSE
"DMR_141","chr13",102067343,102069556,2,0,15,16,0.270387447723105,0.224687848688967,FALSE
"DMR_142","chr8",55379034,55380663,2,2,8,9,0.170193313666667,0.124667187156106,TRUE
"DMR_143","chr6",85482570,85484863,2,1,10,13,0.221938753371795,0.124101969247272,FALSE
"DMR_144","chr13",109147160,109149171,2,0,6,6,0.257998541757576,0.19456770391964,FALSE
"DMR_145","chr19",53757677,53758609,2,2,7,7,0.159091902646728,0.0901971168468831,TRUE
"DMR_146","chr5",115151427,115153615,2,0,13,14,0.28904474036761,0.228054069727132,FALSE
"DMR_147","chr2",182320901,182322898,2,0,14,17,0.312733409214286,0.234411267021743,FALSE
"DMR_148","chr4",17781880,17784060,2,1,14,15,0.202604071456006,0.14369056803299,FALSE
"DMR_149","chr13",25620954,25621735,2,2,6,6,0.117155430818815,0.0816295477404657,TRUE
"DMR_150","chr20",59826138,59829060,2,0,7,9,0.309765252227899,0.218216201195471,FALSE
"DMR_151","chr1",33219158,33220450,2,1,7,9,0.343756545857143,0.123675456326633,FALSE
"DMR_152","chr19",13616871,13617970,2,2,9,10,0.1348028212,0.0920233754380279,TRUE
"DMR_153","chr7",108095719,108097606,2,2,12,12,0.1638564268,0.0876644166806133,TRUE
"DMR_154","chr18",18821328,18823509,2,2,14,14,0.161576809585714,0.102338323239154,TRUE
"DMR_155","chr4",157996014,157998201,2,0,15,16,0.324569550199578,0.241584372470953,FALSE
"DMR_156","chr19",21657164,21658001,2,1,6,7,0.216981471978757,0.142125604118595,FALSE
"DMR_157","chr4",21949853,21951046,2,1,10,11,0.203673856066667,0.120982969631667,FALSE
"DMR_158","chr11",110581434,110584727,2,2,22,25,0.154070708420455,0.114044238327589,TRUE
"DMR_159","chr12",24714652,24717178,2,2,18,19,0.108391038330144,0.0653964717879546,TRUE
"DMR_160","chr6",127438426,127442679,2,2,18,24,0.117999780922222,0.10364654527385,TRUE
"DMR_161","chr6",159588564,159591121,2,0,7,8,0.4079296164,0.264775523071267,FALSE
"DMR_162","chr13",95362829,95366456,2,2,24,25,0.1983503303125,0.129110580281433,TRUE
"DMR_163","chr13",96296144,96297326,2,2,12,12,0.13444570815,0.0835300759820128,TRUE
"DMR_164","chr3",140769274,140771786,2,2,20,23,0.139018481456522,0.100442016775087,TRUE
"DMR_165","chr6",166421992,166422741,2,2,6,6,0.179162232888889,0.0950565504549515,TRUE
"DMR_166","chr9",133534961,133542125,2,2,17,18,0.190361886098039,0.111577378236423,TRUE
"DMR_167","chr9",841067,843748,2,2,10,11,0.19504905352,0.114534605087973,TRUE
"DMR_168","chr18",5894665,5896267,2,2,9,10,0.160610939133333,0.101321371291854,TRUE
"DMR_169","chr19",52900882,52901639,2,2,12,12,0.14164935975,0.0813196129820458,TRUE
"DMR_170","chr20",24448346,24452131,2,0,21,22,0.230984106651281,0.179167168740895,FALSE
"DMR_171","chr12",133484026,133485856,2,2,6,8,0.136455178975,0.0705257594173163,TRUE
"DMR_172","chr8",70980488,70984917,2,0,20,23,0.408905858913043,0.238732709604824,FALSE
"DMR_173","chr7",43151168,43153950,2,1,16,20,0.211685946272727,0.135060506368353,FALSE
"DMR_174","chr11",503270,504937,2,0,8,14,0.56099341159375,0.299802492726134,FALSE
"DMR_175","chr5",1930801,1932098,2,2,7,8,0.132598627916667,0.0923794212533493,TRUE
"DMR_176","chr20",8111582,8113630,2,2,7,15,0.184438641157942,0.124664068003028,TRUE
"DMR_177","chr10",57389301,57391427,2,1,11,11,0.276397303381818,0.162826329876265,FALSE
"DMR_178","chr11",24518149,24518726,2,2,9,12,0.172910554555556,0.100928023225633,TRUE
"DMR_179","chr12",5018229,5021871,2,0,22,23,0.257819547530435,0.221121131290279,FALSE
"DMR_180","chr8",104510754,104514118,2,2,15,20,0.144995329933333,0.0840582949839743,TRUE
"DMR_181","chr7",27140797,27148002,2,0,39,47,0.797412713650668,0.486825106129165,FALSE
"DMR_182","chr16",22824489,22826243,2,1,13,16,0.205959830307692,0.125073191405684,FALSE
"DMR_183","chr4",82135607,82136940,2,2,8,13,0.16428120275,0.0816146221615675,TRUE
"DMR_184","chr6",73329475,73333620,2,0,18,21,0.284507980633333,0.122842197723587,FALSE
"DMR_185","chr10",91294781,91296457,2,0,16,17,0.292623687694118,0.245156877295375,FALSE
"DMR_186","chr14",63511872,63513359,2,2,6,10,0.175441723746388,0.11538632304537,TRUE
"DMR_187","chr14",97684259,97686001,2,2,11,12,0.193498092366667,0.158436300983463,TRUE
"DMR_188","chr20",21491952,21498921,2,1,24,27,0.299463033895833,0.161647346024409,FALSE
"DMR_189","chr19",15580010,15580721,2,0,7,7,0.494944472714286,0.219781296984124,FALSE
"DMR_190","chr3",129692836,129694665,2,0,13,18,0.400288798337235,0.285141515636908,FALSE
"DMR_191","chr3",24869928,24872319,2,0,7,9,0.24245230537037,0.205258541847928,FALSE
"DMR_192","chr16",56223970,56228901,2,2,27,32,0.150940196355556,0.0986502508311852,TRUE
"DMR_193","chr6",80656586,80658030,2,2,14,14,0.165136465771429,0.0989477866849387,TRUE
"DMR_194","chr3",68056706,68057572,2,0,6,6,0.2710527964,0.176628265444872,FALSE
"DMR_195","chr2",185462269,185463803,2,2,14,14,0.170365082614286,0.0833336726422452,TRUE
"DMR_196","chr2",210636188,210636844,2,2,8,10,0.18436145929154,0.0982022512526936,TRUE
"DMR_197","chr4",111549880,111555503,2,0,21,23,0.578263630591752,0.193993101731235,FALSE
"DMR_198","chr8",72752888,72758701,2,0,28,34,0.336667614767857,0.216690037470069,FALSE
"DMR_199","chr7",155241490,155244727,2,2,12,13,0.15572433835,0.100940057016877,TRUE
"DMR_200","chr12",106978920,106981513,2,0,13,13,0.361475938679487,0.123511957679337,FALSE
"DMR_201","chr4",107955762,107958805,2,2,13,14,0.167419218784615,0.106586042589858,TRUE
"DMR_202","chr8",54789207,54795315,2,2,23,28,0.171038821834783,0.100802399547167,TRUE
"DMR_203","chr16",3233068,3234346,2,1,5,6,0.184388535,0.110216052208997,FALSE
"DMR_204","chr13",112758379,112763963,2,0,23,25,0.39870397706087,0.226549494525768,FALSE
"DMR_205","chr1",4714008,4716554,2,2,14,14,0.170577947909932,0.0813047765570607,TRUE
"DMR_206","chr1",14923736,14926521,2,0,14,15,0.289901545028625,0.232589314473225,FALSE
"DMR_207","chr11",94500612,94502879,2,1,20,21,0.203154075040909,0.159320708745952,FALSE
"DMR_208","chr3",44063315,44063832,2,1,6,6,0.307555917666667,0.121895151296988,FALSE
"DMR_209","chr10",26503187,26507383,2,2,20,24,0.17341999047,0.110244729941087,TRUE
"DMR_210","chr20",21487412,21490665,2,1,8,8,0.3838331565625,0.196895608029937,FALSE
"DMR_211","chr7",21582064,21584483,2,0,12,13,0.325362587990405,0.251039500723036,FALSE
"DMR_212","chr14",23834477,23836047,2,0,12,12,0.351835270270833,0.192785909910453,FALSE
"DMR_213","chr14",57282784,57284528,2,2,7,8,0.1601483685,0.111227080343946,TRUE
"DMR_214","chr1",119526060,119532925,2,0,42,46,0.436915412253623,0.251989412266332,FALSE
"DMR_215","chr10",106398816,106402908,2,2,21,22,0.149546395679343,0.0932305362909922,TRUE
"DMR_216","chr19",56879036,56880388,2,0,14,15,0.271470565712293,0.223668737983737,FALSE
"DMR_217","chr13",96204265,96206104,2,0,16,18,0.438178376607902,0.234692389200782,FALSE
"DMR_218","chr11",69631981,69635508,2,2,25,25,0.150437946386184,0.108702436651064,TRUE
"DMR_219","chr3",154796045,154798648,2,2,17,20,0.158497289,0.120051375891123,TRUE
"DMR_220","chr7",137531173,137533035,2,1,8,9,0.2509366486,0.171193436515929,FALSE
"DMR_221","chr14",48143434,48145588,2,2,8,14,0.184296327941076,0.0945560973065057,TRUE
"DMR_222","chr14",57263369,57266029,2,0,13,13,0.370127559723077,0.215170422738233,FALSE
"DMR_223","chr10",50816058,50818911,2,2,15,16,0.182253505721591,0.135282449113775,TRUE
"DMR_224","chr7",19145530,19148187,2,0,11,12,0.229422694316667,0.16021553812126,FALSE
"DMR_225","chr12",41085286,41087584,2,1,17,17,0.238264495336898,0.157683637610225,FALSE
"DMR_226","chr16",10274064,10277505,2,2,24,26,0.165313528916667,0.107431791114504,TRUE
"DMR_227","chr7",19812327,19813525,2,1,16,17,0.2064018350125,0.157576801034814,FALSE
"DMR_228","chr5",1878499,1888218,2,0,37,54,0.319408317859459,0.182600578142354,FALSE
"DMR_229","chr3",179754239,179755696,2,2,11,12,0.195735671576642,0.108549141018339,TRUE
"DMR_230","chr20",37351841,37358077,2,2,23,24,0.163048275108412,0.112208154778743,TRUE
"DMR_231","chr21",27010160,27012878,2,2,14,15,0.196799544466667,0.162571351965046,TRUE
"DMR_232","chr20",2780114,2782348,2,1,14,16,0.208795023971429,0.13906708578126,FALSE
"DMR_233","chr11",15135329,15136688,2,0,11,12,0.366339399522727,0.271064202787304,FALSE
"DMR_234","chr16",3354260,3356149,2,1,8,22,0.221594602265182,0.171305020726291,FALSE
