DMR_ID,coordinate_key,validation_mean_deltaBeta,legacy_discovery_deltaBeta,discovery_deltaBeta,discovery_no_cpgs,legacy_minus_validation,corrected_minus_validation
DMR_165,chr6:166421992-166422741,0.216554163993254,0.216554163993254,0.263230512322261,6,0,0.046676348329007
DMR_166,chr9:133534961-133542125,0.216262561586805,0.216262561586805,0.246894113746048,18,0,0.030631552159243
DMR_167,chr9:841067-843748,0.216260771145933,0.216260771145933,0.231461969577233,12,0,0.0152011984313
DMR_168,chr18:5894665-5896267,0.215744512892282,0.215744512892282,0.206997597316797,10,0,-0.00874691557548499
DMR_169,chr19:52900882-52901639,0.215359432054197,0.215359432054197,0.222545003928997,12,0,0.00718557187480001
DMR_171,chr12:133484026-133485856,0.214192469297438,0.214192469297438,0.209514534556183,8,0,-0.004677934741255
DMR_175,chr5:1930801-1932098,0.21086117011816,0.21086117011816,0.256341011588992,7,0,0.045479841470832
DMR_176,chr20:8111582-8113630,0.210802609922697,0.210802609922697,0.222772179728487,15,0,0.01196956980579
DMR_178,chr11:24518149-24518726,0.210149450474841,0.210149450474841,0.218317387349477,12,0,0.00816793687463602
DMR_18,chr1:49242359-49243472,0.271078119697676,0.271078119697676,0.260910206538505,11,0,-0.010167913159171
DMR_180,chr8:104510754-104514118,0.209710303099745,0.209710303099745,0.205145485930538,20,0,-0.00456481716920701
DMR_183,chr4:82135607-82136940,0.208541737670221,0.208541737670221,0.258811418226203,13,0,0.050269680555982
DMR_186,chr14:63511872-63513359,0.206970308282804,0.206970308282804,0.23545097902884,10,0,0.028480670746036
DMR_187,chr14:97684259-97686001,0.206396682040259,0.206396682040259,0.237153968401318,11,0,0.030757286361059
DMR_192,chr16:56223970-56228901,0.204816672053661,0.204816672053661,0.204709044809455,34,0,-0.000107627244205988
DMR_193,chr6:80656586-80658030,0.204355160852371,0.204355160852371,0.203399542275073,15,0,-0.000955618577297979
DMR_195,chr2:185462269-185463803,0.202462897873407,0.202462897873407,0.240531554197863,16,0,0.038068656324456
DMR_196,chr2:210636188-210636844,0.201981678111545,0.201981678111545,0.218205918504051,10,0,0.016224240392506
DMR_199,chr7:155241490-155244727,0.200965427849634,0.200965427849634,0.220244063538062,13,0,0.019278635688428
DMR_201,chr4:107955762-107958805,0.200572050859919,0.200572050859919,0.258686829422438,14,0,0.058114778562519
DMR_202,chr8:54789207-54795315,0.200158321820893,0.200158321820893,0.219804119347192,28,0,0.019645797526299
DMR_205,chr1:4714008-4716554,0.197229706079494,0.197229706079494,0.242505376995995,14,0,0.045275670916501
DMR_209,chr10:26503187-26507383,0.196432200312338,0.196432200312338,0.23135338511522,25,0,0.034921184802882
DMR_213,chr14:57282784-57284528,0.195062399161886,0.195062399161886,0.219941326039742,8,0,0.024878926877856
DMR_215,chr10:106398816-106402908,0.194267041680735,0.194267041680735,0.248333384009384,22,0,0.054066342328649
DMR_218,chr11:69631981-69635508,0.191638516710568,0.191638516710568,0.212484404066824,25,0,0.020845887356256
DMR_219,chr3:154796045-154798648,0.191187082669462,0.191187082669462,0.204844489602953,21,0,0.013657406933491
DMR_22,chr19:56904442-56905587,0.262014026075075,0.262014026075075,0.243514635349678,14,0,-0.018499390725397
DMR_221,chr14:48143434-48145588,0.190354583309273,0.190354583309273,0.24460069930485,14,0,0.054246115995577
DMR_223,chr10:50816058-50818911,0.189500608967548,0.189500608967548,0.218354052967268,16,0,0.02885344399972
DMR_226,chr16:10274064-10277505,0.18906845554515,0.18906845554515,0.215587868761866,27,0,0.026519413216716
DMR_229,chr3:179754239-179755696,0.187086612333121,0.187086612333121,0.204243054686711,12,0,0.01715644235359
DMR_23,chr12:72665282-72668470,0.261172278422197,0.261172278422197,0.225113698258465,19,0,-0.036058580163732
DMR_230,chr20:37351841-37358077,0.185945306180995,0.185945306180995,0.237946117152535,25,0,0.05200081097154
DMR_231,chr21:27010160-27012878,0.184678386975475,0.184678386975475,0.210536393001525,17,0,0.02585800602605
DMR_25,chr8:32404299-32406928,0.25884641563515,0.25884641563515,0.218196282981752,11,0,-0.040650132653398
DMR_26,chr7:98466938-98468586,0.25819910012105,0.25819910012105,0.251038387789027,10,0,-0.00716071233202303
DMR_27,chr2:115918326-115921258,0.256758114280143,0.256758114280143,0.233642303412195,19,0,-0.023115810867948
DMR_29,chr6:390933-394966,0.256518535374298,0.256518535374298,0.266965176569635,19,0,0.010446641195337
DMR_31,chr1:108505752-108508626,0.254343583460023,0.254343583460023,0.266449358141243,19,0,0.01210577468122
DMR_32,chr3:96532006-96533824,0.253737432266706,0.253737432266706,0.227853002169918,13,0,-0.025884430096788
DMR_35,chr19:36909326-36910116,0.248791049262963,0.248791049262963,0.278593109935573,6,0,0.02980206067261
DMR_36,chr4:96468962-96471143,0.248245452795993,0.248245452795993,0.282407600875827,26,0,0.034162148079834
DMR_37,chr8:85094437-85097429,0.247687414274809,0.247687414274809,0.285465449232691,20,0,0.037778034957882
DMR_38,chr13:36870809-36873065,0.247381171454541,0.247381171454541,0.219046187445386,14,0,-0.028334984009155
DMR_4,chr19:12266489-12267897,0.296280657450557,0.296280657450557,0.351602984885498,10,0,0.055322327434941
DMR_41,chr10:7450112-7455714,0.24530080087618,0.24530080087618,0.326940155642584,30,0,0.081639354766404
DMR_44,chr18:44336399-44338147,0.244058803463961,0.244058803463961,0.292464774810303,7,0,0.048405971346342
DMR_45,chr6:118227732-118229732,0.243488112534949,0.243488112534949,0.254825887961054,15,0,0.011337775426105
DMR_48,chr8:16884197-16885270,0.240957848798526,0.240957848798526,0.288693013410858,12,0,0.047735164612332
DMR_49,chr17:77178665-77179999,0.240826628551679,0.240826628551679,0.266500326097456,6,0,0.025673697545777
DMR_50,chr1:242686709-242688681,0.24034356396521,0.24034356396521,0.246305425184544,14,0,0.00596186121933401
DMR_53,chr3:13323567-13325360,0.237718135017608,0.237718135017608,0.259034709003954,9,0,0.021316573986346
DMR_57,chr2:105459097-105462246,0.235291611390796,0.235291611390796,0.25085002785088,12,0,0.015558416460084
DMR_61,chr19:58609269-58611007,0.234438492401166,0.234438492401166,0.215382804536996,15,0,-0.01905568786417
DMR_62,chr1:57887655-57890636,0.23374181107386,0.23374181107386,0.285271166727552,13,0,0.051529355653692
DMR_64,chr4:166793622-166796212,0.23267622814812,0.23267622814812,0.220916268523675,24,0,-0.011759959624445
DMR_65,chr20:53091600-53093152,0.232545086582901,0.232545086582901,0.259343599930668,12,0,0.026798513347767
DMR_68,chr13:88323266-88326918,0.231467875593053,0.231467875593053,0.248275677146955,21,0,0.016807801553902
DMR_69,chr15:79381747-79383980,0.231382471720813,0.231382471720813,0.269212022894445,26,0,0.037829551173632
DMR_7,chr6:62995523-62997123,0.308741777554531,0.308741777554531,0.310872401795932,14,0,0.00213062424140098
DMR_70,chr2:70994758-70996021,0.230930027451516,0.230930027451516,0.20767419410814,18,0,-0.023255833343376
DMR_74,chr20:25061762-25065553,0.229917327210831,0.229917327210831,0.257164538834538,24,0,0.027247211623707
DMR_78,chr19:52872727-52873624,0.228094546700818,0.228094546700818,0.201845090120659,14,0,-0.026249456580159
DMR_79,chr11:91956670-91960644,0.227628368606073,0.227628368606073,0.252774131877759,13,0,0.025145763271686
DMR_80,chr7:103629099-103631129,0.226851153017425,0.226851153017425,0.221875634255431,16,0,-0.00497551876199401
DMR_81,chr5:178770629-178773708,0.226724682519003,0.226724682519003,0.246215695033716,15,0,0.019491012514713
DMR_83,chr9:101469203-101471607,0.226570698317949,0.226570698317949,0.236868285741128,9,0,0.010297587423179
DMR_85,chr5:170742118-170745466,0.225733709787745,0.225733709787745,0.259281117223355,11,0,0.03354740743561
DMR_9,chr8:67872678-67875922,0.28349859276806,0.28349859276806,0.279431956463856,19,0,-0.00406663630420401
DMR_93,chr10:105036495-105038444,0.223014579550387,0.223014579550387,0.246388536796695,13,0,0.023373957246308
DMR_94,chr20:61806628-61810902,0.222955823606649,0.222955823606649,0.250050045184107,22,0,0.027094221577458
DMR_95,chr4:156587892-156589349,0.222566685900899,0.222566685900899,0.204211978838727,15,0,-0.018354707062172
DMR_96,chr4:134067133-134070598,0.222340599516979,0.222340599516979,0.23941435278384,16,0,0.017073753266861
DMR_98,chr13:102568345-102570482,0.222115279684786,0.222115279684786,0.274467353173212,10,0,0.052352073488426
