SHAP_rank,Feature,mean_abs_SHAP,TCGA_mean_Normal,TCGA_mean_Tumor,TCGA_deltaBeta,TCGA_wilcox_p,TCGA_FDR,discovery_deltaBeta,validation_mean_deltaBeta,legacy_discovery_deltaBeta,discovery_no_cpgs,discovery_coord,chr,start,end,mean_SHAP,coordinate_key,DMR_id,tested_datasets,validated_datasets_p005,validated_datasets_FDR005,max_deltaBeta,min_p.value,fisher_p.value,meta_FDR,validated_any_p005,validated_at_least2_p005,validated_any_FDR005,n_background_datasets,n_background_pass,min_nCpG_background,max_nCpG_background,max_beta_across_background,mean_beta_across_background,background_pass_all,nCpG_GSE196696,meanBeta_GSE196696,medianBeta_GSE196696,maxSampleBeta_GSE196696,p95Beta_GSE196696,max_group_mean_beta_GSE196696,propSamples_beta_gt_0.20_GSE196696,GSE196696_pass,score_SHAP,score_discovery_delta,priority_score,priority_rank
38,DMR_1,0.00160937672838305,0.0510824944454236,0.426103409960914,0.37502091551549,0.00000000000000000687530163377643,0.00000000000000000741454097760203,0.300586679959902,0.328616435696098,0.328616435696098,16,chr19:37997105-37998171,chr19,37997105,37998171,0.0000790020015496224,chr19:37997105-37998171,chr19:37997105-37998171,5,5,5,0.393974839015152,5.53965173110765e-42,5.16450517022829e-109,1.46960551535173e-108,TRUE,TRUE,TRUE,2,2,13,15,0.0813011073692308,0.0463720972852149,TRUE,16,0.0435702469880576,0.0436864128075732,0.085408673563685,0.0588640024146039,0.0435702469880576,0,TRUE,0.452332954978247,0.65934146573237,0.535136359279896,11
11,DMR_85,0.00197372694188075,0.249015153951332,0.55324228339166,0.304227129440328,2.86973258842828e-25,7.79693673641071e-25,0.259281117223355,0.225733709787745,0.225733709787745,11,chr5:170742118-170745466,chr5,170742118,170745466,-0.0000424813257894578,chr5:170742118-170745466,chr5:170742118-170745466,5,4,4,0.267904503505886,9.33693241040896e-45,3.74976246196005e-120,1.93487743037139e-119,TRUE,TRUE,TRUE,2,2,10,11,0.194017408366667,0.141948483913112,TRUE,11,0.122810736932337,0.121299667301606,0.170021276419351,0.145296953835636,0.122810736932337,0,TRUE,0.630699836383229,0.383525871493362,0.531830250427282,12
16,DMR_65,0.0018803165299165,0.198791239755891,0.484038297166231,0.28524705741034,1.09651445542072e-25,3.54754676753761e-25,0.259343599930668,0.232545086582901,0.232545086582901,12,chr20:53091600-53093152,chr20,53091600,53093152,-0.0000107811605187018,chr20:53091600-53093152,chr20:53091600-53093152,5,4,4,0.266310727423082,1.0621098733085e-42,1.19820634973111e-124,8.28046173832038e-124,TRUE,TRUE,TRUE,2,2,12,12,0.159005033479167,0.0908397690012752,TRUE,12,0.0780160268665807,0.0774998046725838,0.110577692079712,0.0939677204227555,0.0780160268665807,0,TRUE,0.58497096549038,0.383943096290833,0.504559817810561,13
31,DMR_37,0.00162903778035393,0.207475260471058,0.574112982971555,0.366637722500497,2.97572887119713e-26,1.59931983174561e-25,0.285465449232691,0.247687414274809,0.247687414274809,20,chr8:85094437-85097429,chr8,85094437,85097429,-0.0000677156006070753,chr8:85094437-85097429,chr8:85094437-85097429,5,4,4,0.2821331945487,5.43369065723178e-42,3.03032968004609e-116,1.22160165226858e-115,TRUE,TRUE,TRUE,2,2,19,20,0.198857954171053,0.134380101917459,TRUE,20,0.094951239906222,0.094409134493507,0.166160769249609,0.115831987118881,0.094951239906222,0,TRUE,0.461957981656622,0.558370289882473,0.500522904946963,14
13,DMR_112,0.00194423698650258,0.200905829204771,0.496039707521404,0.295133878316633,0.0000000000000000000000027107383134534,0.0000000000000000000000049696869079979,0.249824085941954,0.218079085956795,0.218079085956795,14,chr7:84814140-84816843,chr7,84814140,84816843,0.000097730263225043,chr7:84814140-84816843,chr7:84814140-84816843,5,4,4,0.271189605654762,3.36073751143185e-41,3.83237647862048e-112,1.24632747666061e-111,TRUE,TRUE,TRUE,2,2,14,14,0.186861822,0.139654719711738,TRUE,14,0.120689423040543,0.119942197729489,0.188169228988248,0.139738337380348,0.120689423040543,0,TRUE,0.616263090695393,0.320377071917545,0.497908683184254,15
7,DMR_119,0.00204952604817251,0.2452046834826,0.579097813756131,0.333893130273532,5.10047046002872e-26,2.15789134847369e-25,0.237480192808549,0.215954124079686,0.215954124079686,26,chr11:105479843-105481988,chr11,105479843,105481988,-0.0000197726909584571,chr11:105479843-105481988,chr11:105479843-105481988,5,4,4,0.253789389682195,1.66046650328341e-45,1.82095170718518e-117,7.91807090652433e-117,TRUE,TRUE,TRUE,2,2,18,26,0.163215319219539,0.112505437236708,TRUE,26,0.0785463671660746,0.0774657904394127,0.131434832279579,0.0986558761810548,0.0785463671660746,0,TRUE,0.667807129590926,0.237951413138165,0.495864843009822,16
36,DMR_36,0.00161696892125743,0.123451561186329,0.455279265624652,0.331827704438323,1.99600619039872e-26,1.3083066660535e-25,0.282407600875827,0.248245452795993,0.248245452795993,26,chr4:96468962-96471143,chr4,96468962,96471143,0.000041450982492689,chr4:96468962-96471143,chr4:96468962-96471143,5,4,4,0.29366468937603,3.66923665187145e-46,8.956722514467e-131,1.05037927669658e-129,TRUE,TRUE,TRUE,2,2,22,26,0.114576656439394,0.068794853219775,TRUE,26,0.0621181299968624,0.0605513297781008,0.111899776244851,0.0818098164356728,0.0621181299968624,0,TRUE,0.456049697046348,0.537951677817542,0.488810489354826,17
20,DMR_31,0.0017553052365274,0.115136634969228,0.445205284496156,0.330068649526927,4.54523402723533e-26,2.08323226248286e-25,0.266449358141243,0.254343583460023,0.254343583460023,19,chr1:108505752-108508626,chr1,108505752,108508626,0.000030899344880597,chr1:108505752-108508626,chr1:108505752-108508626,5,4,4,0.322285104166667,8.78282714934847e-44,2.76706431292429e-113,9.82434760643761e-113,TRUE,TRUE,TRUE,2,2,11,17,0.133394064340909,0.07839427469483,TRUE,19,0.0498557650196356,0.0496290964027157,0.0976252417042029,0.0650314656911771,0.0498557650196356,0,TRUE,0.523771949499252,0.431391400914325,0.486819730065282,18
8,DMR_132,0.002035589743481,0.216609881001092,0.501068200263004,0.284458319261912,4.7841930277146e-26,2.10504493219443e-25,0.23556635234499,0.209272059707741,0.209272059707741,18,chr1:77331940-77334748,chr1,77331940,77334748,0.0000326013519159923,chr1:77331940-77334748,chr1:77331940-77334748,5,4,4,0.254278677962795,7.93478110698688e-44,3.19861808736078e-115,1.23786519980862e-114,TRUE,TRUE,TRUE,2,2,16,17,0.184467993460001,0.140515152249802,TRUE,18,0.166856875733443,0.166440462138465,0.209910052753342,0.190737658845362,0.166856875733443,0.012280701754386,TRUE,0.660984640913697,0.225171850053599,0.486659524569658,19
18,DMR_53,0.00177901803209054,0.164183905607491,0.480570264996878,0.316386359389386,2.68469003672166e-26,1.55429423178622e-25,0.259034709003954,0.237718135017608,0.237718135017608,9,chr3:13323567-13325360,chr3,13323567,13325360,0.0000146976731571354,chr3:13323567-13325360,chr3:13323567-13325360,5,4,4,0.284999594907407,4.62609696858455e-39,3.6581545166409e-106,9.07503716628223e-106,TRUE,TRUE,TRUE,2,2,9,10,0.188109706340154,0.120047609865974,TRUE,9,0.109774798672463,0.108907575183974,0.195260220908166,0.135446113142026,0.109774798672463,0,TRUE,0.53538049873925,0.381880494334528,0.473980496977361,20
34,DMR_11,0.00161921495186701,0.215311038631939,0.565618006234734,0.350306967602795,0.000000000000000000000357826540491474,0.000000000000000000000447283175614342,0.275103969029897,0.280700128615106,0.280700128615106,11,chr2:144693520-144695257,chr2,144693520,144695257,0.000046742441652956,chr2:144693520-144695257,chr2:144693520-144695257,5,4,4,0.335239483687045,3.84357043448618e-48,6.42157395729236e-118,2.88970828078156e-117,TRUE,TRUE,TRUE,2,2,7,11,0.198635761244293,0.180860885880216,TRUE,11,0.199109834467906,0.198806521168572,0.261773231995732,0.209577762013085,0.199109834467906,0.42280701754386,TRUE,0.457149236611659,0.489182083016555,0.469962375173617,21
12,DMR_158,0.00196110328787119,0.0977967946794541,0.375100405858248,0.277303611178794,5.05293729818944e-25,0.00000000000000000000000115796479750175,0.236659048817713,0.221541379316953,0.221541379316953,26,chr11:110581434-110584727,chr11,110581434,110584727,-0.00000602596027390097,chr11:110581434-110584727,chr11:110581434-110584727,5,3,3,0.302510775462963,1.5606743032043e-37,5.25858190486414e-97,9.29256254421198e-97,TRUE,TRUE,TRUE,2,2,22,25,0.154070708420455,0.114044238327589,TRUE,26,0.132514750409605,0.131847679539985,0.180160008865349,0.149674658262717,0.132514750409605,0,TRUE,0.624519953089061,0.232468269881341,0.467699279805973,22
21,DMR_18,0.00172642161693491,0.100864924149745,0.429607948313704,0.328743024163959,7.02076456024167e-26,2.75815750580923e-25,0.260910206538505,0.271078119697676,0.271078119697676,11,chr1:49242359-49243472,chr1,49242359,49243472,-0.00000781615291823304,chr1:49242359-49243472,chr1:49242359-49243472,5,4,4,0.358627482638889,9.7619118260207e-43,1.43569991310427e-106,3.67957527398247e-106,TRUE,TRUE,TRUE,2,2,9,11,0.149458038777778,0.0865886328280608,TRUE,11,0.0893899084507391,0.0884889376651967,0.133327983473612,0.110908628476349,0.0893899084507391,0,TRUE,0.509632034221194,0.394404024646543,0.463540830391334,23
23,DMR_201,0.00167784702166346,0.244071729447342,0.519833313314419,0.275761583867076,0.00000000000000000000000947927847783273,0.0000000000000000000000142838442816658,0.258686829422438,0.200572050859919,0.200572050859919,14,chr4:107955762-107958805,chr4,107955762,107958805,0.0000274033680788374,chr4:107955762-107958805,chr4:107955762-107958805,5,3,3,0.229321878725375,5.23217099475208e-36,9.4812473259723e-99,1.73897759011909e-98,TRUE,TRUE,TRUE,2,2,13,14,0.167419218784615,0.106586042589858,TRUE,14,0.0909007453365559,0.0904843909409994,0.130908183992534,0.109823322614872,0.0909007453365559,0,TRUE,0.485852443176346,0.379557547807654,0.443334485028869,24
9,DMR_38,0.00203016967482787,0.135087421122282,0.480513755124478,0.345426334002195,0.000000000000000000000067947074339214,0.0000000000000000000000911485143574822,0.219046187445386,0.247381171454541,0.247381171454541,14,chr13:36870809-36873065,chr13,36870809,36873065,0.0000028164595692757,chr13:36870809-36873065,chr13:36870809-36873065,5,4,4,0.299074422348485,3.19489125197818e-45,9.33112639471435e-114,3.34365362477264e-113,TRUE,TRUE,TRUE,2,2,12,15,0.15743604452,0.120366845354139,TRUE,14,0.157043303481731,0.150910502169346,0.3793246121832,0.212882238781444,0.157043303481731,0.0754385964912281,TRUE,0.658331257693804,0.114859369195444,0.440942502294459,25
56,DMR_62,0.00140225688490146,0.181052053575047,0.51121292223991,0.330160868664863,0.00000000000000000000000392344768663428,0.00000000000000000000000644148127656374,0.285271166727552,0.23374181107386,0.23374181107386,13,chr1:57887655-57890636,chr1,57887655,57890636,-0.00000159569249661152,chr1:57887655-57890636,chr1:57887655-57890636,5,4,4,0.27943530448718,9.79157473176551e-37,8.52391226492271e-101,1.65766535001261e-100,TRUE,TRUE,TRUE,2,2,13,15,0.117998436546667,0.077176248287229,TRUE,13,0.0697446911715193,0.0693509435794836,0.110146719649722,0.0878020340738672,0.0697446911715193,0,TRUE,0.350937870824871,0.557072979276951,0.433391914205703,26
44,DMR_165,0.00158526575919692,0.140171708402023,0.483267769167346,0.343096060765323,1.33700130767443e-26,1.24155649774465e-25,0.263230512322261,0.216554163993254,0.216554163993254,6,chr6:166421992-166422741,chr6,166421992,166422741,0.0000427738570833329,chr6:166421992-166422741,chr6:166421992-166422741,4,3,3,0.266853014064406,8.91714429576217e-31,2.25856750552769e-71,2.49733035611204e-71,TRUE,TRUE,TRUE,2,2,6,6,0.179162232888889,0.0950565504549515,TRUE,6,0.105454365244023,0.10445161501471,0.212237497062912,0.139108387929,0.105454365244023,0.00175438596491228,TRUE,0.4405294806778,0.409897737264496,0.428276783312479,27
27,DMR_45,0.00165939313605389,0.0789837486342374,0.400041180565431,0.321057431931194,0.00000000000000000000000310478882123383,0.00000000000000000000000542105984659874,0.254825887961054,0.243488112534949,0.243488112534949,15,chr6:118227732-118229732,chr6,118227732,118229732,-0.0000751031123932308,chr6:118227732-118229732,chr6:118227732-118229732,5,4,4,0.310018325892857,1.82125346805031e-38,9.07218209822585e-105,2.06525557177259e-104,TRUE,TRUE,TRUE,2,2,14,14,0.135027299771429,0.0786305469285807,TRUE,15,0.0877672555559651,0.0865937503126775,0.158718675333972,0.107278178117455,0.0877672555559651,0,TRUE,0.476818382253518,0.353776326273746,0.427601559861609,28
26,DMR_129,0.00166847629009933,0.298284382613013,0.553167436119467,0.254883053506455,0.00000000000000000000000187045456489864,0.0000000000000000000000036741071810509,0.250858712127604,0.210648575898814,0.210648575898814,7,chr9:37026418-37027815,chr9,37026418,37027815,0.000108482787324391,chr9:37026418-37027815,chr9:37026418-37027815,5,4,4,0.253203055555556,9.12352735469846e-41,6.00451337293826e-109,1.69387971307005e-108,TRUE,TRUE,TRUE,2,2,7,7,0.164057453057143,0.0905972446163212,TRUE,7,0.0772538990290923,0.0752252205449024,0.128389379380452,0.104116407029258,0.0772538990290923,0,TRUE,0.481265021229937,0.327285730638173,0.419673304993232,29
32,DMR_79,0.00162552791059484,0.201737492985211,0.492575292963233,0.290837799978022,0.00000000000000000000000254841267515269,0.00000000000000000000000475127786892874,0.252774131877759,0.227628368606073,0.227628368606073,13,chr11:91956670-91960644,chr11,91956670,91960644,0.0000660585863122388,chr11:91956670-91960644,chr11:91956670-91960644,5,4,4,0.268187016369048,2.1016587343798e-41,2.12638634221736e-115,8.39705626977672e-115,TRUE,TRUE,TRUE,2,2,13,14,0.195949460285714,0.136042884320762,TRUE,13,0.102745455647014,0.101476376838392,0.161591367563964,0.127501361194338,0.102745455647014,0,TRUE,0.460239732291385,0.340075839321009,0.412174175103234,30
19,DMR_27,0.00177297055255495,0.175091831328598,0.535455683983999,0.360363852655401,0.00000000000000000000000147775288121928,0.00000000000000000000000306703428177587,0.233642303412195,0.256758114280143,0.256758114280143,19,chr2:115918326-115921258,chr2,115918326,115921258,-0.00000442424091228765,chr2:115918326-115921258,chr2:115918326-115921258,5,4,4,0.311810226444604,1.26451182709419e-41,9.72207188021853e-119,4.64498989832663e-118,TRUE,TRUE,TRUE,2,2,13,19,0.184220785292231,0.130181874816369,TRUE,19,0.146191097926122,0.14421269888854,0.213716905941795,0.174021076636239,0.146191097926122,0.00701754385964912,TRUE,0.532419967840232,0.212324120484375,0.404381628897889,31
28,DMR_50,0.00165193246843031,0.168055112478752,0.477600680720947,0.309545568242195,1.77704610511428e-26,1.3083066660535e-25,0.246305425184544,0.24034356396521,0.24034356396521,14,chr1:242686709-242688681,chr1,242686709,242688681,-0.00000277807977468859,chr1:242686709-242688681,chr1:242686709-242688681,5,4,4,0.297866440972222,2.9284741942927e-41,1.17742578927762e-109,3.45199833674576e-109,TRUE,TRUE,TRUE,2,2,12,14,0.147390381416667,0.0910010323010715,TRUE,14,0.0857030152190468,0.0844888204704516,0.135958512133338,0.107411564064449,0.0857030152190468,0,TRUE,0.473166028095571,0.296881410717612,0.402652181144387,32
37,DMR_94,0.00161425389901996,0.203671968991982,0.470182463897924,0.266510494905942,8.39320696688952e-26,2.9221653839558e-25,0.250050045184107,0.222955823606649,0.222955823606649,22,chr20:61806628-61810902,chr20,61806628,61810902,0.0000430980973218596,chr20:61806628-61810902,chr20:61806628-61810902,5,4,4,0.288505597587719,1.53594479236434e-48,6.32341296143516e-127,5.31991481755523e-126,TRUE,TRUE,TRUE,2,2,21,23,0.125774106498024,0.0871603107946906,TRUE,22,0.0830202529638706,0.0828823286339271,0.112869726400993,0.0974422786861142,0.0830202529638706,0,TRUE,0.454720563615097,0.321885902169919,0.401586699037026,33
25,DMR_16,0.00166885790432956,0.131865725770508,0.507753909286381,0.375888183515873,6.9851671845714e-27,1.24155649774465e-25,0.242536262339372,0.27656595406094,0.27656595406094,20,chr7:49812430-49816819,chr7,49812430,49816819,0.000044163544126065,chr7:49812430-49816819,chr7:49812430-49816819,5,4,4,0.339973548177083,2.22271148521649e-43,5.95667978749369e-115,2.26003438996084e-114,TRUE,TRUE,TRUE,2,2,19,19,0.169363393355263,0.134698678155901,TRUE,20,0.114706239211144,0.114157237456307,0.159021719307434,0.133732138912069,0.114706239211144,0,TRUE,0.481451839674461,0.271713035780914,0.397556318117042,34
61,DMR_98,0.00135523701923586,0.290835742731837,0.572100652791698,0.281264910059862,2.62728828404412e-25,7.41030028832957e-25,0.274467353173212,0.222115279684786,0.222115279684786,10,chr13:102568345-102570482,chr13,102568345,102570482,0.0000488682116967257,chr13:102568345-102570482,chr13:102568345-102570482,5,4,4,0.249224548408198,1.36923111391715e-45,1.0055753217959e-118,4.74582499432941e-118,TRUE,TRUE,TRUE,2,2,10,10,0.17421774298,0.115577419000427,TRUE,10,0.10213750820562,0.101829764337145,0.154916643878115,0.123400559788133,0.10213750820562,0,TRUE,0.327919394391597,0.484931116096349,0.390724083073498,35
84,DMR_44,0.00117568827312581,0.2125153583958,0.539090462335678,0.326575103939877,4.37381466677167e-26,2.08323226248286e-25,0.292464774810303,0.244058803463961,0.244058803463961,7,chr18:44336399-44338147,chr18,44336399,44338147,0.0000245624660963045,chr18:44336399-44338147,chr18:44336399-44338147,5,4,4,0.290604166666667,8.05624983509548e-40,9.46139235574325e-104,2.0455635986998e-103,TRUE,TRUE,TRUE,2,2,7,8,0.198313855425,0.123892941420087,TRUE,7,0.105373197316766,0.103850659254397,0.226489839580331,0.126804569992402,0.105373197316766,0.00175438596491228,TRUE,0.240021683021032,0.605107896528205,0.386056168423901,36
22,DMR_186,0.00168411991333297,0.312046773711508,0.581579295141801,0.269532521430293,0.00000000000000000000000159200957001917,0.00000000000000000000000318401914003834,0.23545097902884,0.206970308282804,0.206970308282804,10,chr14:63511872-63513359,chr14,63511872,63513359,-0.00000741045639744697,chr14:63511872-63513359,chr14:63511872-63513359,4,3,3,0.261217486869284,1.60305870419678e-38,1.73838557958866e-76,1.99040005710299e-76,TRUE,TRUE,TRUE,2,2,6,10,0.175441723746388,0.11538632304537,TRUE,10,0.0955317017805938,0.0944399209431151,0.133764178535607,0.118982339193259,0.0955317017805938,0,TRUE,0.488923324111861,0.2244014511619,0.383114574931877,37
30,DMR_230,0.00163051234225214,0.278517173514756,0.520253409290183,0.241736235775427,5.57835616717078e-26,2.27266362366217e-25,0.237946117152535,0.185945306180995,0.185945306180995,25,chr20:37351841-37358077,chr20,37351841,37358077,-0.000114563982567381,chr20:37351841-37358077,chr20:37351841-37358077,5,3,3,0.215106563481078,4.19251860683686e-46,5.39553309760559e-119,2.64312823895363e-118,TRUE,TRUE,TRUE,2,2,23,24,0.163048275108412,0.112208154778743,TRUE,25,0.0897964397863531,0.0893974370622164,0.124601364647302,0.106969634384205,0.0897964397863531,0,TRUE,0.462679850335377,0.241062596990726,0.374032948997517,38
42,DMR_133,0.00158857582986503,0.184994020898825,0.453796862422973,0.268802841524148,0.00000000000000000000000392344768663428,0.00000000000000000000000644148127656374,0.242355186179343,0.208650000681814,0.208650000681814,21,chr18:25754301-25758434,chr18,25754301,25758434,0.0000615760746796151,chr18:25754301-25758434,chr18:25754301-25758434,5,4,4,0.260430904947917,8.41069683888068e-37,1.22568757653766e-105,2.98327730893127e-105,TRUE,TRUE,TRUE,2,2,17,21,0.182767322529412,0.134495054789491,TRUE,21,0.106979536874958,0.106510585880787,0.154814342013345,0.122507808262142,0.106979536874958,0,TRUE,0.44214991881789,0.270503909809202,0.373491515214415,39
47,DMR_57,0.0015109009978891,0.151211844705535,0.473706534661998,0.322494689956463,6.63060451626553e-27,1.24155649774465e-25,0.25085002785088,0.235291611390796,0.235291611390796,12,chr2:105459097-105462246,chr2,105459097,105462246,0.0000424197559795772,chr2:105459097-105462246,chr2:105459097-105462246,5,4,4,0.274430529513889,4.03418469180287e-45,7.04834979514818e-122,4.01134025106227e-121,TRUE,TRUE,TRUE,2,2,11,14,0.115543935,0.0808098140141291,TRUE,12,0.0632882011134858,0.062725250196298,0.105150649061829,0.0798412129398942,0.0632882011134858,0,TRUE,0.404124368042988,0.327227741864108,0.373365717571436,40
50,DMR_152,0.00148991307448967,0.178144376180012,0.510266172384632,0.332121796204619,0.00000000000000000000000625554943030012,0.00000000000000000000000969169630046497,0.252918888333978,0.2307180498623,0.2307180498623,12,chr19:13616871-13617970,chr19,13616871,13617970,0.0000292736223515028,chr19:13616871-13617970,chr19:13616871-13617970,5,3,3,0.304241273148148,7.02209201218594e-39,6.43128586186695e-102,1.30309299923692e-101,TRUE,TRUE,TRUE,2,2,9,10,0.1348028212,0.0920233754380279,TRUE,12,0.0914341571787824,0.0901403298638348,0.150436227471239,0.124523604796414,0.0914341571787824,0,TRUE,0.393849774244933,0.341042442493726,0.37272684154445,41
