"coord","seqnames","start","end","width","no.cpgs","strand","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"chr19:36909326-36910116","chr19",36909326,36910116,791,6,"*",0,0,1.2930447265184e-98,0,0.399087775458333,0.278593109935573,"ZFP82"
"chr7:127670570-127673038","chr7",127670570,127673038,2469,15,"*",0,0,0,0,0.573043106354167,0.278097223936557,"SND1, LRRC4"
"chr1:47909234-47912753","chr1",47909234,47912753,3520,16,"*",0,0,1.71198782821044e-257,0,0.39771049915625,0.277143553470221,NA
"chr10:102419209-102419617","chr10",102419209,102419617,409,6,"*",0,0,1.38709763153722e-77,0,0.367839111427083,0.276190617419641,NA
"chr7:152621979-152623304","chr7",152621979,152623304,1326,7,"*",0,0,1.05108768603625e-185,0,0.46655917846875,0.275442605068351,NA
"chr2:144693520-144695257","chr2",144693520,144695257,1738,11,"*",0,0,2.04115805206624e-130,0,0.491083411625,0.275103969029897,"AC016910.1"
"chr19:30015782-30016478","chr19",30015782,30016478,697,6,"*",0,0,5.47758874723801e-106,0,0.430096354229167,0.27490612903288,"CTC-525D6.1, CTC-525D6.2"
"chr13:102568345-102570482","chr13",102568345,102570482,2138,10,"*",0,0,1.53029197794202e-129,0,0.391749143229167,0.274467353173212,"FGF14"
"chr16:51182904-51190201","chr16",51182904,51190201,7298,51,"*",0,0,1.66981681573021e-170,0,0.469899477708333,0.274397608918227,"AC009166.5, SALL1"
"chr7:43151168-43153950","chr7",43151168,43153950,2783,20,"*",0,0,6.70525592192193e-214,0,0.49041681128125,0.272700296618398,"HECW1"
"chr11:111410878-111412172","chr11",111410878,111412172,1295,14,"*",0,0,3.74120174526058e-178,0,0.45962769815625,0.270949224846854,"LAYN"
"chr15:79381747-79383980","chr15",79381747,79383980,2234,26,"*",0,0,4.78202522169115e-129,0,0.372976526260417,0.269212022894445,"RASGRF1"
"chr13:79169714-79171679","chr13",79169714,79171679,1966,17,"*",0,0,3.22407250020883e-141,0,0.407405777125,0.269150047066363,"RNF219-AS1, RP11-52L5.6"
"chr6:390933-394966","chr6",390933,394966,4034,19,"*",0,0,3.95193038036578e-257,0,0.532643510958333,0.266965176569635,"IRF4"
"chr1:108505752-108508626","chr1",108505752,108508626,2875,19,"*",0,0,4.99199286189555e-169,0,0.456080744625,0.266449358141243,"VAV3-AS1, VAV3"
"chr8:69240774-69244553","chr8",69240774,69244553,3780,19,"*",0,0,1.30522955635571e-196,0,0.542336268322917,0.266405695219282,"C8orf34, RP11-664D7.4"
"chr6:84417445-84419827","chr6",84417445,84419827,2383,25,"*",0,0,1.63009900178256e-185,0,0.462238358947917,0.266392196845499,"SNAP91"
"chr17:6616351-6617470","chr17",6616351,6617470,1120,14,"*",0,0,5.96502843904233e-106,0,0.400270403465729,0.265748866266515,"SLC13A5"
"chr11:65600773-65601427","chr11",65600773,65601427,655,12,"*",0,0,3.78189693577025e-172,0,0.34309309075,0.265471117767985,"SNX32, CFL1"
"chr5:87973439-87974547","chr5",87973439,87974547,1109,10,"*",0,0,3.57553540258656e-124,0,0.346270896879819,0.265429127803933,"CTC-467M3.1, LINC00461"
"chr16:3233068-3234346","chr16",3233068,3234346,1279,7,"*",0,0,3.79325958789415e-123,0,0.333657422897109,0.265222094050899,"AJ003147.8"
"chr6:166421992-166422741","chr6",166421992,166422741,750,6,"*",0,0,6.22223349803781e-137,0,0.291347298739583,0.263230512322261,NA
"chr1:119548527-119551851","chr1",119548527,119551851,3325,17,"*",0,0,1.55336418312559e-178,0,0.348160624291293,0.262941066205231,NA
"chr7:158935647-158938780","chr7",158935647,158938780,3134,10,"*",0,0,3.7200866113946e-213,0,0.46995915303125,0.262534135444567,"VIPR2"
"chr13:96296144-96297326","chr13",96296144,96297326,1183,12,"*",0,0,2.25063048310165e-87,0,0.395448487729167,0.26204505335035,"DZIP1"
"chr8:97169621-97174382","chr8",97169621,97174382,4762,25,"*",0,0,3.53819944708712e-180,0,0.445163108927083,0.261290821219081,"GDF6"
"chr8:48100081-48100957","chr8",48100081,48100957,877,7,"*",0,0,8.12033653573701e-90,0,0.36164004875,0.261220340899758,"RP11-1134I14.4, RP11-1134I14.2"
"chr1:49242359-49243472","chr1",49242359,49243472,1114,11,"*",0,0,1.49433263090332e-180,0,0.53900134209375,0.260910206538505,"AGBL4, BEND5"
"chr15:83775590-83777082","chr15",83775590,83777082,1493,17,"*",0,0,2.22698787077713e-188,0,0.475237698139095,0.260354073006703,"TM6SF1"
"chr1:119526060-119532925","chr1",119526060,119532925,6866,44,"*",0,0,1.50841213465681e-198,0,0.467541356229167,0.259926908289941,"TBX15"
"chr1:33219158-33220450","chr1",33219158,33220450,1293,10,"*",0,0,1.39567003538932e-138,0,0.334114471556483,0.259437160457852,"KIAA1522"
"chr14:57260891-57262177","chr14",57260891,57262177,1287,6,"*",0,0,3.81404304033952e-134,0,0.296795451352685,0.259408288422524,NA
"chr20:53091600-53093152","chr20",53091600,53093152,1553,12,"*",0,0,4.13328462729039e-159,0,0.4576113065625,0.259343599930668,"DOK5"
"chr5:170742118-170745466","chr5",170742118,170745466,3349,11,"*",0,0,3.1517986372586e-147,0,0.399992494520833,0.259281117223355,NA
"chr3:13323567-13325360","chr3",13323567,13325360,1794,9,"*",0,0,4.79302045144333e-148,0,0.363452425489583,0.259034709003954,NA
"chr4:82135607-82136940","chr4",82135607,82136940,1334,13,"*",0,0,3.90158020468715e-95,0,0.40951618440625,0.258811418226203,"PRKG2"
"chr4:107955762-107958805","chr4",107955762,107958805,3044,14,"*",0,0,2.35219232858683e-131,0,0.353364906416667,0.258686829422438,"DKK2"
"chr4:110222806-110224951","chr4",110222806,110224951,2146,21,"*",0,0,7.35028980316933e-191,0,0.437618822967429,0.257666053426922,"AC004051.2, COL25A1"
"chr1:200002343-200006247","chr1",200002343,200006247,3905,17,"*",0,0,2.28983238880369e-202,0,0.411727732763541,0.257173539943898,"NR5A2"
"chr20:25061762-25065553","chr20",25061762,25065553,3792,24,"*",0,0,1.17358693650731e-198,0,0.428038778125,0.257164538834538,"VSX1"
"chr11:134145490-134147837","chr11",134145490,134147837,2348,17,"*",0,0,1.55861878995517e-131,0,0.4308781630625,0.257005081592913,"GLB1L3"
"chr13:109147160-109149171","chr13",109147160,109149171,2012,6,"*",0,0,7.15970682915055e-135,0,0.320322278833333,0.256705637685748,NA
"chr5:1930801-1932098","chr5",1930801,1932098,1298,7,"*",0,0,2.35104672105641e-137,0,0.376046900885417,0.256341011588992,NA
"chr6:73329475-73333620","chr6",73329475,73333620,4146,23,"*",0,0,3.66527357224725e-187,0,0.440814624635417,0.25598138304156,"KCNQ5"
"chr6:118227732-118229732","chr6",118227732,118229732,2001,15,"*",0,0,1.05429770598627e-180,0,0.402614470395833,0.254825887961054,"SLC35F1"
"chr5:54518136-54519686","chr5",54518136,54519686,1551,11,"*",0,0,6.34179830911117e-168,0,0.38085888234375,0.254168857624646,"MCIDAS"
"chr19:53757677-53758609","chr19",53757677,53758609,933,7,"*",0,0,2.2737815647715e-94,0,0.303721962251379,0.253993269436092,"ZNF677"
"chr13:37004536-37006748","chr13",37004536,37006748,2213,34,"*",0,0,2.26305289269726e-128,0,0.40473523465625,0.253305168427771,"CCNA1"
"chr2:119599067-119600948","chr2",119599067,119600948,1882,14,"*",0,0,8.63976938492301e-122,0,0.329185884771078,0.253106411948439,"EN1"
"chr19:13616871-13617970","chr19",13616871,13617970,1100,12,"*",0,0,4.18383842949521e-86,0,0.351766443549487,0.252918888333978,"CACNA1A"
"chr8:72468021-72471153","chr8",72468021,72471153,3133,13,"*",0,0,6.28310356227297e-102,0,0.347970429958333,0.252871504646783,"RP11-1102P16.1"
"chr11:91956670-91960644","chr11",91956670,91960644,3975,13,"*",0,0,1.88949960360754e-161,0,0.373484900739583,0.252774131877759,NA
"chr17:43339040-43340758","chr17",43339040,43340758,1719,11,"*",0,0,3.38209658635645e-199,0,0.470689050416667,0.252223972555824,"MAP3K14-AS1, SPATA32, MAP3K14"
"chr5:136833216-136834863","chr5",136833216,136834863,1648,10,"*",0,0,5.14638632191229e-150,0,0.490628145760417,0.252079084459133,"SPOCK1"
"chr5:178016195-178019014","chr5",178016195,178019014,2820,19,"*",0,0,2.99644953757673e-142,0,0.40399025921875,0.251481472575012,"COL23A1"
"chr8:72752888-72758701","chr8",72752888,72758701,5814,36,"*",0,0,1.56121168827354e-221,0,0.533518943047252,0.251240879741621,"RP11-383H13.1, MSC"
"chr6:85471973-85474803","chr6",85471973,85474803,2831,18,"*",0,0,2.08133037673749e-74,0,0.46153190840625,0.251088764483576,"TBX18"
"chr7:98466938-98468586","chr7",98466938,98468586,1649,10,"*",0,0,8.31186696837168e-155,0,0.42441507096875,0.251038387789027,"TMEM130"
"chr9:37026418-37027815","chr9",37026418,37027815,1398,7,"*",0,0,4.19069148263056e-92,0,0.364099885822917,0.250858712127604,"PAX5"
"chr2:105459097-105462246","chr2",105459097,105462246,3150,12,"*",0,0,5.67749654964363e-149,0,0.415670847802083,0.25085002785088,"LINC01158"
"chr19:41119278-41120906","chr19",41119278,41120906,1629,11,"*",0,0,5.06099956113638e-86,0,0.383598578791667,0.250240342381166,"LTBP4"
"chr20:61806628-61810902","chr20",61806628,61810902,4275,22,"*",0,0,2.17726032761084e-175,0,0.45758347025,0.250050045184107,"MIR124-3, RP5-963E22.4"
"chr8:55379034-55380663","chr8",55379034,55380663,1630,8,"*",0,0,4.25107517896891e-128,0,0.346356557879162,0.249980833801557,NA
"chr7:84814140-84816843","chr7",84814140,84816843,2704,14,"*",0,0,1.41258840295496e-162,0,0.37958319425,0.249824085941954,"SEMA3D"
"chr6:96462814-96464908","chr6",96462814,96464908,2095,10,"*",0,0,9.65378975846232e-109,0,0.2985170795495,0.249744502030353,"FUT9"
"chr20:41817011-41819775","chr20",41817011,41819775,2765,12,"*",0,0,4.00354535270763e-144,0,0.411609478885417,0.249260958454015,"RP1-269M15.3, PTPRT"
"chr2:101033609-101035029","chr2",101033609,101035029,1421,14,"*",0,0,4.80488260197149e-123,0,0.458595545291667,0.2488470613914,"CHST10"
"chr16:22824489-22826243","chr16",22824489,22826243,1755,17,"*",0,0,1.16121213863067e-188,0,0.33418442246618,0.248814463429903,"HS3ST2"
"chr2:193058172-193061253","chr2",193058172,193061253,3082,14,"*",0,0,1.24946268169848e-198,0,0.369976833354167,0.248489506863276,"TMEFF2"
"chr10:106398816-106402908","chr10",106398816,106402908,4093,22,"*",0,0,4.43843624198899e-95,0,0.397147336583333,0.248333384009384,"SORCS3"
"chr13:88323266-88326918","chr13",88323266,88326918,3653,21,"*",0,0,4.24764626199446e-128,0,0.388607489619176,0.248275677146955,"SLITRK5, MIR4500HG"
"chr3:147136463-147137180","chr3",147136463,147137180,718,6,"*",0,0,7.28502215852904e-112,0,0.344345233907055,0.248241389707221,"ZIC1"
"chr6:27647713-27649120","chr6",27647713,27649120,1408,8,"*",0,0,1.76439863987477e-78,0,0.41205615659375,0.247718660717023,NA
"chr9:133534961-133542125","chr9",133534961,133542125,7165,18,"*",0,0,2.61163408257716e-90,0,0.437001795864583,0.246894113746048,"PRDM12"
"chr10:7708240-7710179","chr10",7708240,7710179,1940,12,"*",0,0,4.16078578481403e-100,0,0.340231082708333,0.246674876239683,"ITIH5"
"chr10:105036495-105038444","chr10",105036495,105038444,1950,13,"*",0,0,6.95622582701445e-85,0,0.333635093822917,0.246388536796695,"INA"
"chr1:242686709-242688681","chr1",242686709,242688681,1973,14,"*",0,0,1.96257083814129e-127,0,0.35043539421875,0.246305425184544,"PLD5"
"chr5:178770629-178773708","chr5",178770629,178773708,3080,15,"*",0,0,3.60897270480678e-106,0,0.434837333260417,0.246215695033716,"ADAMTS2"
"chr5:115151427-115153615","chr5",115151427,115153615,2189,14,"*",0,0,9.58550033873564e-151,0,0.38180742540625,0.246036406468457,"CDO1"
"chr13:112758379-112763963","chr13",112758379,112763963,5585,26,"*",0,0,3.64904168977605e-183,0,0.485499802125,0.245735956193369,"LINC00403, LINC00404"
"chr13:95618902-95620997","chr13",95618902,95620997,2096,6,"*",0,0,2.29768761773056e-149,0,0.490875445645833,0.245653893025207,NA
"chr7:4998045-4998897","chr7",4998045,4998897,853,6,"*",0,0,2.38519218386114e-112,0,0.321236558860068,0.245412112689579,"MMD2"
"chr5:54515640-54517041","chr5",54515640,54517041,1402,8,"*",0,0,6.70010782254618e-148,0,0.456421902364583,0.245178940860532,"MCIDAS"
"chr1:208131213-208133116","chr1",208131213,208133116,1904,7,"*",0,0,6.39627861584794e-168,0,0.439258957541667,0.244798779152105,NA
"chr14:48143434-48145588","chr14",48143434,48145588,2155,14,"*",0,0,2.43203476405548e-111,0,0.336765628595058,0.24460069930485,"MDGA2, MDGA2"
"chr9:100612587-100615349","chr9",100612587,100615349,2763,10,"*",0,0,8.07070415832363e-165,0,0.52920162290625,0.243822164543688,NA
"chr19:56904442-56905587","chr19",56904442,56905587,1146,14,"*",0,0,7.37913712239432e-158,0,0.438553329225456,0.243514635349678,"ZNF582-AS1, ZNF582"
"chr7:93519220-93521196","chr7",93519220,93521196,1977,21,"*",0,0,7.32621659388936e-149,0,0.490442383375,0.243119835408208,"GNGT1, AC002076.10, TFPI2"
"chr13:53419596-53420933","chr13",53419596,53420933,1338,8,"*",0,0,1.30390215767173e-118,0,0.302919150833333,0.24304513030845,"PCDH8"
"chr7:145812625-145814306","chr7",145812625,145814306,1682,16,"*",0,0,7.85774723551414e-89,0,0.322556933773062,0.242775347938437,"CNTNAP2"
"chr7:49812430-49816819","chr7",49812430,49816819,4390,20,"*",0,0,2.528043624712e-239,0,0.422785839229167,0.242536262339372,"VWC2"
"chr1:4714008-4716554","chr1",4714008,4716554,2547,14,"*",0,0,5.9884914836653e-146,0,0.346542428166667,0.242505376995995,"AJAP1"
"chr18:25754301-25758434","chr18",25754301,25758434,4134,21,"*",0,0,3.51877708554555e-101,0,0.359656025927083,0.242355186179343,"CDH2"
"chr2:182320901-182322898","chr2",182320901,182322898,1998,17,"*",0,0,0,0,0.480792333791667,0.242241368221171,"ITGA4"
"chr20:37433247-37435978","chr20",37433247,37435978,2732,18,"*",0,0,1.24406965834016e-180,0,0.449212932888206,0.241783391192508,"PPP1R16B"
"chr19:15580010-15580721","chr19",15580010,15580721,712,7,"*",0,0,7.30189214731327e-91,0,0.415443191062655,0.241386503394657,"PGLYRP2"
"chr1:91182215-91185922","chr1",91182215,91185922,3708,25,"*",0,0,3.97586674615645e-132,0,0.385255887005836,0.240693405261778,"BARHL2"
"chr2:185462269-185463803","chr2",185462269,185463803,1535,16,"*",0,0,3.21816380774693e-121,0,0.348578016583333,0.240531554197863,"ZNF804A"
"chr6:10389490-10391412","chr6",10389490,10391412,1923,7,"*",0,0,3.78635685633865e-124,0,0.40081021934375,0.240333454573046,NA
"chr5:5139334-5140935","chr5",5139334,5140935,1602,19,"*",0,0,5.08631638599635e-144,0,0.397550844395833,0.239994417504427,"ADAMTS16, CTD-2297D10.2"
"chr1:237204939-237207256","chr1",237204939,237207256,2318,14,"*",0,0,6.14125259518439e-126,0,0.431348998177083,0.239928049337534,"RYR2"
"chr3:44063315-44063832","chr3",44063315,44063832,518,6,"*",0,0,1.44817545522549e-91,0,0.37631222709375,0.239715839878046,NA
"chr6:85482570-85484863","chr6",85482570,85484863,2294,12,"*",0,0,3.55419065907105e-91,0,0.30956732843692,0.239646024144636,NA
"chr4:134067133-134070598","chr4",134067133,134070598,3466,16,"*",0,0,2.31454072435821e-139,0,0.347095371989583,0.23941435278384,"PCDH10, RP11-9G1.3"
"chr15:48935514-48939483","chr15",48935514,48939483,3970,15,"*",0,0,4.05484267927816e-213,0,0.4472006125,0.238461971340795,"RP11-227D13.1, FBN1"
"chr8:89338965-89341103","chr8",89338965,89341103,2139,13,"*",0,0,3.92565929429559e-107,0,0.346475831125,0.238454615378251,"RP11-586K2.1, MMP16"
"chr20:37351841-37358077","chr20",37351841,37358077,6237,25,"*",0,0,4.83500602807886e-140,0,0.3480064025021,0.237946117152535,"SLC32A1"
"chr11:7271955-7274234","chr11",7271955,7274234,2280,12,"*",0,0,7.59397233310499e-141,0,0.437029763416667,0.237886326170492,"SYT9"
"chr8:53850809-53854495","chr8",53850809,53854495,3687,19,"*",0,0,8.01723613189239e-137,0,0.491549213395833,0.237757675847135,"NPBWR1"
"chr1:111216332-111218554","chr1",111216332,111218554,2223,15,"*",0,0,4.70601512122966e-176,0,0.473933883833333,0.237747281802255,"KCNA3"
"chr5:1878499-1888218","chr5",1878499,1888218,9720,54,"*",0,0,3.00347197413086e-139,0,0.3966822001875,0.237676003021506,"CTD-2194D22.3, CTD-2194D22.4, IRX4"
"chr11:105479843-105481988","chr11",105479843,105481988,2146,26,"*",0,0,1.23228562743275e-143,0,0.4585273454375,0.237480192808549,"GRIA4"
"chr19:37406260-37408110","chr19",37406260,37408110,1851,15,"*",0,0,4.43807854143202e-140,0,0.40026381315625,0.2374576153474,"ZNF568, ZNF829"
"chr3:185911208-185912486","chr3",185911208,185912486,1279,9,"*",0,0,3.94608065246295e-138,0,0.32053632940625,0.237177138943008,"DGKG"
"chr14:97684259-97686001","chr14",97684259,97686001,1743,11,"*",0,0,1.25303068099971e-127,0,0.354692426282906,0.237153968401318,NA
"chr9:101469203-101471607","chr9",101469203,101471607,2405,9,"*",0,0,1.26106593132401e-99,0,0.345453845820784,0.236868285741128,"GABBR2"
"chr14:57263369-57266029","chr14",57263369,57266029,2661,13,"*",0,0,5.06503352864223e-119,0,0.355272738104167,0.236860931533197,NA
"chr3:172164984-172167810","chr3",172164984,172167810,2827,21,"*",0,0,1.86378649615192e-106,0,0.39594385841342,0.236857546856747,"GHSR"
"chr7:8479893-8483569","chr7",8479893,8483569,3677,17,"*",0,0,1.21604938725256e-103,0,0.3629979525,0.236856012370674,"NXPH1"
"chr4:21949853-21951046","chr4",21949853,21951046,1194,11,"*",0,0,1.13238728708508e-123,0,0.350898448697917,0.236751470909725,"RP11-17E2.2, KCNIP4"
"chr11:110581434-110584727","chr11",110581434,110584727,3294,26,"*",0,0,4.20628457931883e-168,0,0.364712690916667,0.236659048817713,"ARHGAP20"
"chr2:237145141-237146748","chr2",237145141,237146748,1608,6,"*",0,4.58466614359665e-297,3.49393640778718e-112,0,0.32350724953125,0.236503181960159,"AC079135.1, ASB18"
"chr18:74960629-74963807","chr18",74960629,74963807,3179,36,"*",0,0,2.11619888938774e-113,0,0.372048350072917,0.235672416037478,"GALR1"
"chr1:77331940-77334748","chr1",77331940,77334748,2809,18,"*",0,0,4.26654655866208e-128,0,0.435793687135417,0.23556635234499,"ST6GALNAC5"
"chr14:63511872-63513359","chr14",63511872,63513359,1488,10,"*",0,0,2.03824624496034e-99,0,0.286527304631416,0.23545097902884,"KCNH5"
"chr9:112402449-112403301","chr9",112402449,112403301,853,9,"*",0,0,3.12584407971873e-96,0,0.359501821229167,0.235354135467181,"PALM2"
"chr7:19155785-19159569","chr7",19155785,19159569,3785,34,"*",0,0,3.26287230798773e-175,0,0.480513818833333,0.235299175896132,"AC003986.7, TWIST1"
"chr8:55368762-55372569","chr8",55368762,55372569,3808,20,"*",0,0,2.84553116169108e-139,0,0.44640022246875,0.234211964804482,"SOX17"
"chr17:13504399-13507160","chr17",13504399,13507160,2762,12,"*",0,0,5.2489193860141e-107,0,0.386681351875,0.234166477820983,"HS3ST3A1"
"chr2:115918326-115921258","chr2",115918326,115921258,2933,19,"*",0,0,5.77303330235692e-147,0,0.410568414,0.233642303412195,"DPP10, DPP10-AS1"
"chr7:117854280-117854765","chr7",117854280,117854765,486,6,"*",0,0,2.08799016391615e-76,0,0.35190263825,0.233336848058864,"ANKRD7"
"chr8:70980488-70984917","chr8",70980488,70984917,4430,22,"*",0,0,2.45909198180135e-168,0,0.462603192677083,0.232975297802362,"PRDM14"
"chr5:45694523-45696784","chr5",45694523,45696784,2262,12,"*",0,0,6.65288370703589e-143,0,0.306933736713783,0.232821169184747,"HCN1"
"chr15:79723173-79725642","chr15",79723173,79725642,2470,16,"*",0,0,2.14445301583136e-171,0,0.318928258770833,0.232757250457086,"KIAA1024"
"chr8:99958470-99963657","chr8",99958470,99963657,5188,19,"*",0,0,9.25797793545453e-112,0,0.369672231354167,0.232310784558666,"OSR2"
"chr13:96204265-96206104","chr13",96204265,96206104,1840,18,"*",0,0,1.13344709797555e-124,0,0.477161096854167,0.231774036965884,"CLDN10"
"chr9:841067-843748","chr9",841067,843748,2682,12,"*",0,0,1.68138140650947e-126,0,0.436216483416667,0.231461969577233,"DMRT1"
"chr10:26503187-26507383","chr10",26503187,26507383,4197,25,"*",0,0,3.10789562068795e-119,0,0.437623106854167,0.23135338511522,"GAD2"
"chr8:55365596-55367627","chr8",55365596,55367627,2032,9,"*",0,0,1.72658367971509e-133,0,0.300410696092172,0.231288219422727,NA
"chr10:57389301-57391427","chr10",57389301,57391427,2127,11,"*",0,0,4.95809698274031e-140,0,0.351542878279749,0.231230073344371,NA
"chr4:17781880-17784060","chr4",17781880,17784060,2181,15,"*",0,0,2.96464644576047e-134,0,0.402500409625,0.230969594743344,"FAM184B"
"chr2:154727485-154730326","chr2",154727485,154730326,2842,21,"*",0,0,4.69617195538639e-124,0,0.375775797510417,0.23087618759036,"GALNT13"
"chr3:68979668-68982098","chr3",68979668,68982098,2431,16,"*",0,0,5.67932681492524e-94,0,0.345539768104167,0.230875244137445,"FAM19A4"
"chr1:37498025-37501164","chr1",37498025,37501164,3140,14,"*",0,0,1.65485771554815e-98,0,0.31398221115625,0.230845962492807,"GRIK3"
"chr13:36705041-36706433","chr13",36705041,36706433,1393,8,"*",0,0,5.93093042511654e-110,0,0.3629979135625,0.230775360047751,"DCLK1"
"chr7:108095719-108097606","chr7",108095719,108097606,1888,12,"*",0,0,2.78767858595372e-146,0,0.389650349552083,0.23021784193939,"NRCAM"
"chr13:112707805-112717707","chr13",112707805,112717707,9903,33,"*",0,0,1.24290098330354e-116,0,0.414100661635417,0.229907639435058,NA
"chr18:76736785-76741157","chr18",76736785,76741157,4373,26,"*",0,0,3.84823237552975e-96,0,0.404240173552083,0.228957769723434,"SALL3, RP11-849I19.1"
"chr4:147557774-147561900","chr4",147557774,147561900,4127,19,"*",0,0,7.27429680014556e-126,0,0.375291470987786,0.228635070898701,"POU4F2, AC093887.1"
"chr13:58203618-58210058","chr13",58203618,58210058,6441,24,"*",0,0,2.52018851483909e-125,0,0.390547679447917,0.228247413421806,"PCDH17"
